fold,mae_open,mae_high,mae_low,mae_close,mae_avg
1,0.0025806400000000034,0.002988130128205125,0.0037108210256410275,0.0029205138461538462,0.0030500262500000007
2,0.0011253379844961187,0.0013646572351421178,0.001325832041343668,0.001576314211886302,0.0013480353682170515
3,0.0019330445582586473,0.0025843344430217666,0.002235443149807936,0.0020870871959026943,0.002209977336747761
4,0.0026322798975672228,0.003685599487836106,0.0031955487836107543,0.004008739692701665,0.0033805419654289372
5,0.002006052880921896,0.002467173239436622,0.0024608024327784916,0.0025770238156209995,0.0023777630921895023
6,0.0008673554838709682,0.0012201660645161324,0.0011267892903225752,0.001566108129032253,0.0011951047419354822
7,0.0005281701017811653,0.0010200346055979684,0.001134281170483457,0.0012558910941475854,0.000984594243002544
8,0.0008651111395646581,0.0017900603072983309,0.001902987964148527,0.002017091933418694,0.0016438128361075523
9,0.0025826555225806464,0.0026265301032258044,0.0034719585161290326,0.003603765419354843,0.0030712273903225813
10,0.0005824598717948644,0.001421717948717944,0.0010910605128205118,0.0016735156410256431,0.0011921884935897408
11,0.0007035596899224829,0.001449923643410856,0.001113921317829451,0.001639441472868211,0.00122671153100775
12,0.00017032974358974147,0.0007217766666666585,0.000794019358974357,0.0010858203846153829,0.0006929865384615349
13,0.0001932645326504434,0.0008738090909090905,0.0009825928297055033,0.0012138558258642824,0.0008158805697823298
14,0.0004876899354838766,0.001400871612903226,0.0013071307096774243,0.00194155651612903,0.0012843121935483892
