fold,mae_open,mae_high,mae_low,mae_close,mae_avg
1,0.0011262705426356582,0.0013641577519379832,0.0013263080103359216,0.0015803166666666672,0.0013492632428940576
2,0.0019330483994878394,0.0025843436619718304,0.002235443918053777,0.0020870865556978277,0.0022099806338028187
3,0.0026322798975672228,0.003685599743918052,0.0031955487836107543,0.004008739692701665,0.003380542029449423
4,0.001113297055057619,0.001625895006402051,0.0016541975672215085,0.0019462983354673524,0.0015849219910371328
5,0.0009858494193548412,0.0012825001290322578,0.0011688261935483867,0.0016208322580645114,0.0012645019999999994
6,0.0002566012722646316,0.0009226008905852439,0.0009412296437659081,0.0011360576335877888,0.0008141223600508931
7,0.0008651111395646581,0.0017900603072983309,0.001902987964148527,0.00201709218950064,0.0016438129001280389
8,0.0035470477677419354,0.0032856486709677427,0.00424626590967742,0.003943648000000006,0.003755652587096776
9,0.0005069466666666573,0.001362469102564098,0.0010841770512820474,0.0016581462820512807,0.0011529347756410208
10,0.0007035596899224829,0.001449923643410856,0.001113921317829451,0.001639441472868211,0.00122671153100775
11,0.00016972000000000027,0.0007208737179487167,0.0007881714102564094,0.0010873815384615394,0.0006915366666666664
12,0.00024534673495518066,0.0008684988476312404,0.0009457811779769554,0.001219068501920616,0.0008196738156209981
13,0.0007567295483870982,0.001426709548387096,0.0012772558709677473,0.001956769419354839,0.001354366096774195
