fold,tail_mae_avg_pips
1,12.352162500000123
2,18.298262500000106
3,14.166012500000184
4,1604.916575
5,39.19545000000005
6,21.06503749999994
7,53.93736250000008
8,25.38656250000021
9,14.368012500000138
10,26.962387500000073
11,12.126537499999866
12,16.907725000000067
13,354.95916249999965
