stage,best_name,stage_best_name,stage_best_mae_avg_pips,selected_name,selected_mae_avg_pips,selected_from,window,units,activation,lr,epochs,lambda_coef,sigma_coef,batch
Stage 1 - Window Sweep,lstm_tvt_s1_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,lstm_tvt_s1_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,12.56850213964178,lstm_tvt_s1_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,12.56850213964178,stage_best,12,256,relu,0.0009,60,0.8,0.1,128
Stage 2 - Units Sweep,lstm_tvt_s1_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,lstm_tvt_s2_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,12.761036404377641,lstm_tvt_s1_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,12.56850213964178,carry_forward,12,256,relu,0.0009,60,0.8,0.1,128
Stage 3 - Learning Rate Sweep,lstm_tvt_s3_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,lstm_tvt_s3_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,12.188846804026289,lstm_tvt_s3_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,12.188846804026289,stage_best,12,256,relu,0.0009,60,0.8,0.1,128
Stage 4 - Lambda / Sigma Sweep,lstm_tvt_s3_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,lstm_tvt_s4_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,12.438926354578411,lstm_tvt_s3_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,12.188846804026289,carry_forward,12,256,relu,0.0009,60,0.8,0.1,128
Stage 5 - Batch Size Sweep,lstm_tvt_s5_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b96,lstm_tvt_s5_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b96,11.66937215011136,lstm_tvt_s5_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b96,11.66937215011136,stage_best,12,256,relu,0.0009,60,0.8,0.1,96
Stage 6 - Epoch Sweep,lstm_tvt_s5_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b96,lstm_tvt_s6_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b96,11.858793242714388,lstm_tvt_s5_w12_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b96,11.66937215011136,carry_forward,12,256,relu,0.0009,60,0.8,0.1,96
