stage,best_name,stage_best_name,stage_best_mae_avg_pips,selected_name,selected_mae_avg_pips,selected_from,window,units,activation,lr,epochs,lambda_coef,sigma_coef,batch
Stage 1 - Window Sweep,lstm_tvt_s1_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,lstm_tvt_s1_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,13.235533904521416,lstm_tvt_s1_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,13.235533904521416,stage_best,10,256,relu,0.0009,60,0.8,0.1,128
Stage 2 - Units Sweep,lstm_tvt_s1_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,lstm_tvt_s2_w10_h224_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,13.413150034571933,lstm_tvt_s1_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,13.235533904521416,carry_forward,10,256,relu,0.0009,60,0.8,0.1,128
Stage 3 - Learning Rate Sweep,lstm_tvt_s3_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,lstm_tvt_s3_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,13.179811342592581,lstm_tvt_s3_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,13.179811342592581,stage_best,10,256,relu,0.0009,60,0.8,0.1,128
Stage 4 - Lambda / Sigma Sweep,lstm_tvt_s3_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,lstm_tvt_s4_w10_h256_actrelu_lr0.0009_e60_lam0.9_sig0.1_b128,13.358678028799895,lstm_tvt_s3_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b128,13.179811342592581,carry_forward,10,256,relu,0.0009,60,0.8,0.1,128
Stage 5 - Batch Size Sweep,lstm_tvt_s5_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b96,lstm_tvt_s5_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b96,13.038885875120263,lstm_tvt_s5_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b96,13.038885875120263,stage_best,10,256,relu,0.0009,60,0.8,0.1,96
Stage 6 - Epoch Sweep,lstm_tvt_s5_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b96,lstm_tvt_s6_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b96,13.074972071909587,lstm_tvt_s5_w10_h256_actrelu_lr0.0009_e60_lam0.8_sig0.1_b96,13.038885875120263,carry_forward,10,256,relu,0.0009,60,0.8,0.1,96
