fold,train_start,train_end,test_start,test_end,train_samples,test_samples,mae_open,mae_high,mae_low,mae_close,mae_avg
1,2018-01-02,2018-07-01,2018-07-02,2019-01-01,774,780,0.003634434358974366,0.003723323974358979,0.0035802078205128232,0.003659575769230771,0.003649385480769235
2,2018-01-02,2019-07-01,2019-07-02,2020-01-01,2328,780,0.004425691677336751,0.004753181177976953,0.0038850259923175405,0.0035522683738796407,0.004154041805377721
3,2018-01-02,2020-07-01,2020-07-02,2021-01-01,3888,780,0.0022861330345710627,0.0030143756722151097,0.002589879897567222,0.0028098049935979513,0.0026750483994878362
4,2018-01-02,2021-07-01,2021-07-02,2022-01-01,5442,786,0.0009030718829516548,0.0012887288804071266,0.0012501288804071216,0.0014692480916030535,0.0012277944338422392
5,2018-01-02,2022-07-01,2022-07-02,2023-01-01,7008,774,0.0007465057935483836,0.001902658864516128,0.0020558106580645225,0.002554202683870964,0.0018147944999999995
6,2018-01-02,2023-07-01,2023-07-02,2024-01-01,8562,774,0.00082071989664083,0.001043821834625323,0.0011758925064599452,0.0014199297157622757,0.0011150909883720934
7,2018-01-02,2024-07-01,2024-07-02,2025-01-01,10116,781,0.000403122407170294,0.0008377546734955165,0.0011953610755441762,0.0013489548015364913,0.0009462982394366196
