fold,train_start,train_end,test_start,test_end,train_samples,test_samples,split_ratio,mode
1,2018-01-02,2018-07-01,2018-07-02,2019-01-01,774,780,0.4980694980694981,expanding
2,2018-01-02,2019-07-01,2019-07-02,2020-01-01,2328,780,0.749034749034749,expanding
3,2018-01-02,2020-07-01,2020-07-02,2021-01-01,3888,780,0.8329048843187661,expanding
4,2018-01-02,2021-07-01,2021-07-02,2022-01-01,5442,786,0.873795761078998,expanding
5,2018-01-02,2022-07-01,2022-07-02,2023-01-01,7008,774,0.9005397070161912,expanding
6,2018-01-02,2023-07-01,2023-07-02,2024-01-01,8562,774,0.9170951156812339,expanding
7,2018-01-02,2024-07-01,2024-07-02,2025-01-01,10116,781,0.9283288978617968,expanding
