stage,best_name,stage_best_name,stage_best_mae_avg_pips,selected_name,selected_mae_avg_pips,selected_from,window,units,activation,lr,epochs,lambda_coef,sigma_coef,batch,dropout,recurrent_dropout,l2_reg
Stage 1 - Window Sweep,bilstm_d1_s1_w4_h256_actrelu_lr0.0005_e50_lam1_sig0.05_b128,bilstm_d1_s1_w4_h256_actrelu_lr0.0005_e50_lam1_sig0.05_b128,32.54437066197692,bilstm_d1_s1_w4_h256_actrelu_lr0.0005_e50_lam1_sig0.05_b128,32.54437066197692,stage_best,4,256,relu,0.0005,50,1.0,0.05,128,0.0,0.0,0.0
Stage 2 - Units Sweep,bilstm_d1_s1_w4_h256_actrelu_lr0.0005_e50_lam1_sig0.05_b128,bilstm_d1_s2_w4_h128_actrelu_lr0.0005_e50_lam1_sig0.05_b128,36.47528208874455,bilstm_d1_s1_w4_h256_actrelu_lr0.0005_e50_lam1_sig0.05_b128,32.54437066197692,carry_forward,4,256,relu,0.0005,50,1.0,0.05,128,0.0,0.0,0.0
Stage 3 - Learning Rate Sweep,bilstm_d1_s3_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b128,bilstm_d1_s3_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b128,31.948051740620514,bilstm_d1_s3_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b128,31.948051740620514,stage_best,4,256,relu,0.0007,50,1.0,0.05,128,0.0,0.0,0.0
Stage 4 - Lambda / Sigma Sweep,bilstm_d1_s3_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b128,bilstm_d1_s4_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b128,32.10089706890336,bilstm_d1_s3_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b128,31.948051740620514,carry_forward,4,256,relu,0.0007,50,1.0,0.05,128,0.0,0.0,0.0
Stage 5 - Batch Size Sweep,bilstm_d1_s5_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b32,bilstm_d1_s5_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b32,30.70875474386727,bilstm_d1_s5_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b32,30.70875474386727,stage_best,4,256,relu,0.0007,50,1.0,0.05,32,0.0,0.0,0.0
Stage 6 - Epoch Ceiling Sweep,bilstm_d1_s5_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b32,bilstm_d1_s6_w4_h256_actrelu_lr0.0007_e40_lam1_sig0.05_b32,30.929747573953833,bilstm_d1_s5_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b32,30.70875474386727,carry_forward,4,256,relu,0.0007,50,1.0,0.05,32,0.0,0.0,0.0
Stage 7 - Regularization Check,bilstm_d1_s7_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b32,bilstm_d1_s7_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b32,30.68504210858585,bilstm_d1_s7_w4_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b32,30.68504210858585,stage_best,4,256,relu,0.0007,50,1.0,0.05,32,0.0,0.0,0.0
