dir_head_accuracy,dir_head_loss,loss,price_head_loss,val_dir_head_accuracy,val_dir_head_loss,val_loss,val_price_head_loss
0.4204094707965851,1.024735927581787,1.1712634563446045,0.14550094306468964,0.3499999940395355,1.0577752590179443,1.0647072792053223,0.006932002026587725
0.4282345473766327,1.0175856351852417,1.0181286334991455,0.0007574632181786001,0.38333332538604736,1.0570745468139648,1.0610798597335815,0.004005305469036102
0.43316540122032166,1.0168766975402832,1.0171467065811157,0.0004640386323444545,0.4000000059604645,1.056406855583191,1.059723973274231,0.0033171731047332287
0.43466609716415405,1.0163787603378296,1.016602873802185,0.00040537805762141943,0.4000000059604645,1.0559184551239014,1.058931827545166,0.0030134292319417
0.43541643023490906,1.0159685611724854,1.0161840915679932,0.0003811897477135062,0.4000000059604645,1.0556316375732422,1.0583451986312866,0.002713513094931841
0.43616679310798645,1.0156446695327759,1.015852689743042,0.0003625801473390311,0.4000000059604645,1.0553665161132812,1.0578809976577759,0.002514537889510393
0.4379890561103821,1.0153483152389526,1.0155558586120605,0.000348990666680038,0.4000000059604645,1.0551847219467163,1.0574740171432495,0.002289248164743185
0.4408832788467407,1.0150885581970215,1.015291690826416,0.00033894230728037655,0.4000000059604645,1.0549391508102417,1.0570627450942993,0.0021236378233879805
0.4390609860420227,1.0148388147354126,1.0150465965270996,0.00033187249209731817,0.4000000059604645,1.0546709299087524,1.0566223859786987,0.0019514287123456597
0.4383106529712677,1.014617919921875,1.014817714691162,0.00032142832060344517,0.4000000059604645,1.0544483661651611,1.0564658641815186,0.002017528750002384
0.4365955591201782,1.0143789052963257,1.0145903825759888,0.00032223446760326624,0.4000000059604645,1.054126262664795,1.0560672283172607,0.0019409876549616456
0.4378818869590759,1.0141642093658447,1.0143762826919556,0.0003203647502232343,0.4000000059604645,1.053924322128296,1.0558552742004395,0.0019309683702886105
0.4398113489151001,1.013922929763794,1.0141441822052002,0.00031720142578706145,0.4000000059604645,1.0535492897033691,1.055452823638916,0.0019035666482523084
0.4409904479980469,1.0137125253677368,1.0139416456222534,0.00031999420025385916,0.38333332538604736,1.0533242225646973,1.055163860321045,0.0018396793166175485
