loss,val_loss
0.10437654703855515,0.00011541152343852445
0.00026918749790638685,7.652716885786504e-05
9.222475637216121e-05,3.1081915949471295e-05
5.6285178288817406e-05,1.9299759514979087e-05
4.071964212926105e-05,1.521548256278038e-05
3.305999416625127e-05,2.260409564769361e-05
3.184189699823037e-05,4.0597031329525635e-05
3.098528031841852e-05,4.592234472511336e-05
2.9199873097240925e-05,5.608621358987875e-05
2.784951175271999e-05,6.185682286741212e-05
2.8588301574927755e-05,5.554259769269265e-05
2.9903118047514e-05,4.415502553456463e-05
3.074615597142838e-05,2.6825735403690487e-05
3.4867392969317734e-05,1.1488168638607021e-05
3.682318128994666e-05,4.025137968710624e-06
2.6637586415745318e-05,9.889801731333137e-06
3.6876976082567126e-05,1.363579576718621e-05
4.50420739070978e-05,1.0925056812993716e-05
3.3733307645889e-05,8.402615640079603e-05
2.4218092221417464e-05,3.483468162812642e-06
4.714018359663896e-05,4.19397656514775e-06
5.066376252216287e-05,6.969043897697702e-05
2.0149038391537033e-05,7.502234893763671e-06
4.5643428165931255e-05,1.8763648768072017e-05
2.174089058826212e-05,1.114226415666053e-05
6.305001443251967e-05,3.902890966855921e-06
1.6265272279269993e-05,8.914297723094933e-06
4.822939808946103e-05,5.174277703190455e-06
3.447080234764144e-05,0.00011105676094302908
4.7584799176547676e-05,1.2266098565305583e-05
2.824439070536755e-05,3.5505996493157e-05
3.91306311939843e-05,6.770269010303309e-06
4.708868436864577e-05,3.772491618292406e-05
2.2607851860811934e-05,3.903435299434932e-06
5.6326898629777133e-05,3.858743184537161e-06
1.4755913980479818e-05,3.091086182394065e-05
5.90392664889805e-05,6.4806031332409475e-06
3.3896492823259905e-05,1.1900998288183473e-05
3.2089592423290014e-05,5.246701221039984e-06
4.515152977546677e-05,1.3779706023342442e-05
2.1787129298900254e-05,6.961190138099482e-06
4.9228521675104275e-05,3.7750571664219024e-06
1.4787470718147233e-05,3.6396677387529053e-06
9.157184831565246e-05,1.0365361958974972e-05
6.587943062186241e-06,2.3868276457506e-06
2.940739068435505e-05,5.3151197789702564e-05
2.9927179639344104e-05,7.839937097742222e-06
3.661982191260904e-05,6.366231536958367e-05
3.2279214792652056e-05,5.8492605603532866e-06
1.6909330952330492e-05,1.2765745850629173e-05
