name,job,mae_avg_hlc_pips,mae_avg_pips,mae_open_pips,mae_high_pips,mae_low_pips,mae_close_pips,preds,train_seconds,window,units,activation,lr,epochs,lambda_coef,sigma_coef,batch
eu5_s6_w14_h224_acttanh_lr0.0007_e40_lam1.1_sig0.12_b96,eu5_s6_e40,14.379927777777747,13.184295833333358,9.5974000000002,12.071399999999954,13.61970000000005,17.448683333333232,RisetEU/EU5/results/multitask_pipeline/eu5_s6_e40_preds.csv,25.367903764126822,14,224,tanh,0.0007,40,1.1,0.12,96
eu5_s6_w14_h224_acttanh_lr0.0007_e50_lam1.1_sig0.12_b96,eu5_s6_e50,14.460338888888844,14.138274999999979,13.17208333333338,11.813033333333204,12.910949999999977,18.657033333333352,RisetEU/EU5/results/multitask_pipeline/eu5_s6_e50_preds.csv,30.398373536067083,14,224,tanh,0.0007,50,1.1,0.12,96
eu5_s6_w14_h224_acttanh_lr0.0007_e60_lam1.1_sig0.12_b96,eu5_s6_e60,12.90293888888884,11.21887916666665,6.1667000000000805,11.318866666666743,12.209383333333212,15.18056666666656,RisetEU/EU5/results/multitask_pipeline/eu5_s6_e60_preds.csv,35.625499989138916,14,224,tanh,0.0007,60,1.1,0.12,96
