loss,val_loss
0.08624841272830963,7.428188837366179e-05
0.00020665681222453713,0.00015033085946924984
0.00032741003087721765,0.0006286752759478986
0.00028647013823501766,0.000336365366820246
0.00022518653713632375,5.566940671997145e-05
0.00014219005242921412,5.793707532575354e-05
0.00017769643454812467,2.9550008548540063e-05
0.00021911782096140087,0.00013461457274388522
8.838279609335586e-05,0.00012245509424246848
0.00017441896488890052,5.748099738411838e-06
0.00014162028674036264,0.00012896819680463523
0.00011908605665666983,6.276135536609218e-05
0.00012568305828608572,0.0002963855804409832
0.0001420088083250448,0.0001258609991054982
0.0001405362709192559,3.456745616858825e-05
6.609194679185748e-05,2.5068364266189747e-05
0.00020620704162865877,0.00032990245381370187
7.667903992114589e-05,8.160609468177427e-06
3.417308471398428e-05,2.961561767733656e-05
0.00019564222020562738,0.0002650028036441654
5.12254518980626e-05,6.915963240317069e-06
6.351839692797512e-05,1.4660548004030716e-05
6.968259549466893e-05,0.0002866210415959358
0.00011228082439629361,2.0151628632447682e-05
9.144298383034766e-05,1.1066150364058558e-05
8.02559734438546e-05,1.1334902410453651e-05
6.992775161052123e-05,0.00014812334848102182
8.407483983319253e-05,2.9044016628176905e-05
0.0001080156143871136,1.5383597201434895e-05
5.36601546627935e-05,1.0338786523789167e-05
7.51061670598574e-05,4.139029442740139e-06
9.790436160983518e-05,1.6212537957471795e-05
3.444293906795792e-05,1.35495056383661e-05
0.0001113434336730279,1.242685812030686e-05
4.067781628691591e-05,1.9432722183410078e-05
9.192149445880204e-05,5.864664217369864e-06
3.880677468259819e-05,1.0834607564902399e-05
9.425965981790796e-05,4.927255304210121e-06
4.186120713711716e-05,4.213581632939167e-06
7.017641473794356e-05,1.0114363249158487e-05
5.5774184147594497e-05,3.4701208733167732e-06
7.172979530878365e-05,1.4234607988328207e-05
3.90745117329061e-05,6.179747288115323e-06
7.61263509048149e-05,8.800718205748126e-06
5.267080996418372e-05,9.637604307499714e-06
3.790097980527207e-05,4.8965234782372136e-06
6.166330422274768e-05,2.6867403448704863e-06
4.393947165226564e-05,1.6381769455620088e-05
6.487927021225914e-05,1.783207153494004e-05
4.045748937642202e-05,1.715706821414642e-05
