,Open,High,Low,Close
0,1.1007016,1.1025603,1.0984863,1.1002662
1,1.101738,1.1035731,1.0995064,1.101312
2,1.1019355,1.1038115,1.0996879,1.1014968
3,1.1012661,1.1031468,1.0990092,1.100804
4,1.101191,1.1030719,1.0989746,1.1007824
5,1.0999508,1.1017787,1.0976946,1.0994364
6,1.098808,1.1005939,1.0966314,1.0983446
7,1.101227,1.102983,1.0990189,1.1008
8,1.101957,1.1038306,1.0996972,1.1015077
9,1.1019142,1.103801,1.0996851,1.101502
10,1.1028979,1.104794,1.1006486,1.1024901
11,1.1024024,1.1042578,1.1001219,1.1019342
12,1.1019435,1.1038108,1.0996906,1.1015177
13,1.1021687,1.1039495,1.0999533,1.1017528
14,1.10321,1.1050863,1.1009125,1.102757
15,1.1037104,1.1055547,1.1014755,1.1033455
16,1.1057398,1.1076488,1.1034435,1.1053666
17,1.1037904,1.1055863,1.1014508,1.1032768
18,1.0999418,1.1017418,1.0976706,1.0994128
19,1.0950118,1.0967476,1.0928129,1.0944054
20,1.0929809,1.0948282,1.0908875,1.0924761
21,1.0924921,1.0943341,1.0904261,1.0920051
22,1.093657,1.0954895,1.0915655,1.0931612
23,1.0935166,1.0953074,1.0913703,1.0929562
24,1.0901139,1.0919043,1.0880238,1.0895112
25,1.0882528,1.090033,1.0862186,1.0876682
26,1.0879982,1.0898335,1.085981,1.0874474
27,1.0882236,1.090067,1.0862199,1.0876924
28,1.088624,1.0904658,1.0866028,1.0880764
29,1.0877459,1.0895375,1.0857028,1.0871401
30,1.0873759,1.0891773,1.0853945,1.0868372
31,1.0866747,1.0884113,1.0846502,1.0860348
32,1.086705,1.0885313,1.0847241,1.0861562
33,1.0872526,1.0890874,1.0852515,1.0866964
34,1.08659,1.0884186,1.0845913,1.0860089
35,1.0866764,1.088468,1.0846952,1.0861113
36,1.0859438,1.0877318,1.0839275,1.085315
37,1.0847743,1.0865505,1.0828232,1.0841842
38,1.086379,1.0881901,1.0844108,1.0858308
39,1.0872688,1.0891157,1.0852739,1.0867169
40,1.0868104,1.088628,1.0847976,1.086217
41,1.0867636,1.0885913,1.0847801,1.0862149
42,1.089073,1.0908484,1.0870895,1.0885789
43,1.093224,1.0949432,1.0911639,1.092751
44,1.095547,1.0974097,1.0934216,1.095084
45,1.095167,1.0970318,1.0930207,1.0946584
46,1.0949115,1.0967634,1.0927955,1.094428
47,1.0956895,1.0974758,1.093557,1.0951917
48,1.09622,1.0978701,1.0940844,1.0956872
49,1.0996686,1.1014109,1.0974733,1.099224
50,1.1004162,1.1022874,1.0982131,1.0999888
51,1.098991,1.100893,1.0967958,1.0985458
52,1.099092,1.1009996,1.0969038,1.0986551
53,1.0973299,1.0991194,1.0951091,1.0967722
54,1.095849,1.0976803,1.0937101,1.0953636
55,1.098994,1.1007153,1.0968686,1.0985949
56,1.1017,1.1035775,1.099449,1.1012514
57,1.1017635,1.1036749,1.0995275,1.1013474
58,1.102054,1.1039672,1.0998074,1.1016364
59,1.1022712,1.1041557,1.1000136,1.1018519
60,1.1022481,1.1040945,1.1000196,1.1018376
61,1.103115,1.104969,1.1008283,1.1026752
62,1.1011696,1.1030288,1.0989274,1.1007063
63,1.0996596,1.1014954,1.0974147,1.0991497
64,1.0979058,1.0997801,1.0957189,1.0974244
65,1.0975738,1.0994313,1.095394,1.0970967
66,1.0963788,1.098224,1.0941994,1.095865
67,1.0991844,1.1008915,1.097075,1.0988158
68,1.1014875,1.1033436,1.0992094,1.1009989
69,1.0990422,1.1008804,1.0968236,1.0985482
