,Open,High,Low,Close
0,1.1001977,1.1006391,1.0982332,1.0997295
1,1.1012462,1.1017135,1.0992861,1.1007708
2,1.1014298,1.1018906,1.0994698,1.1009902
3,1.1007898,1.1012713,1.0988371,1.1003321
4,1.1007187,1.1011996,1.0987759,1.1002578
5,1.0994579,1.0999017,1.0974793,1.0989565
6,1.0982678,1.0986396,1.0962682,1.0977432
7,1.1007221,1.1011615,1.0987414,1.1001934
8,1.101469,1.1019485,1.0995142,1.1010207
9,1.1014104,1.1018715,1.0994568,1.1009761
10,1.1023946,1.1028719,1.1004453,1.1019793
11,1.1019099,1.1023916,1.0999479,1.1014577
12,1.101509,1.1020392,1.0995774,1.1010326
13,1.1016248,1.1020414,1.0996366,1.1011415
14,1.1027511,1.1032795,1.10081,1.1023085
15,1.103232,1.10374,1.1012917,1.1027817
16,1.1052661,1.1058162,1.1033417,1.1048832
17,1.1033028,1.1038092,1.1013284,1.1028281
18,1.0994842,1.0999622,1.0975125,1.0989493
19,1.0945024,1.0948517,1.0924776,1.0938842
20,1.0924796,1.0928081,1.0904889,1.0919033
21,1.0919797,1.0922879,1.0899854,1.091398
22,1.0931188,1.0934186,1.0911133,1.0925572
23,1.0930434,1.0934073,1.0910466,1.0924255
24,1.0895875,1.0898478,1.0875561,1.0889486
25,1.0877264,1.0879562,1.0856922,1.0870562
26,1.0875036,1.0877635,1.0854967,1.0868521
27,1.087707,1.087948,1.0856962,1.087073
28,1.0880929,1.0883259,1.0860739,1.0874696
29,1.0872335,1.0874716,1.0852028,1.0865586
30,1.0868417,1.0870486,1.0848135,1.0861764
31,1.086101,1.0862591,1.0840292,1.0854027
32,1.086188,1.0864044,1.084168,1.085523
33,1.086742,1.0869749,1.0847263,1.0860875
34,1.0860546,1.0862529,1.0840225,1.0853983
35,1.0861275,1.0863098,1.0840862,1.0854534
36,1.0854132,1.085606,1.0833675,1.0847205
37,1.0842028,1.0843338,1.0821424,1.0835041
38,1.085847,1.0860424,1.083818,1.0851746
39,1.0867364,1.0869486,1.0847151,1.0860995
40,1.0862805,1.0864881,1.0842476,1.0856179
41,1.0862514,1.0864738,1.0842338,1.0855863
42,1.0885435,1.0887762,1.0865222,1.0878804
43,1.0927271,1.0930505,1.0907202,1.0920665
44,1.0950637,1.0954478,1.0930939,1.0945224
45,1.094663,1.0950242,1.0926781,1.094128
46,1.0943878,1.0947223,1.0923957,1.0938488
47,1.0951507,1.0954775,1.0931405,1.0945853
48,1.0956,1.095845,1.093529,1.0949873
49,1.0992126,1.099677,1.0972433,1.0986334
50,1.0999062,1.1003375,1.0979421,1.0994452
51,1.0985119,1.0989562,1.0965606,1.0980396
52,1.0985966,1.0990262,1.0966411,1.0981364
53,1.0968194,1.0972046,1.0948155,1.0962667
54,1.0953392,1.0957004,1.0933504,1.094793
55,1.0984561,1.098823,1.0964558,1.0978888
56,1.1012,1.1016634,1.0992405,1.100756
57,1.1012796,1.1017605,1.0993373,1.1008513
58,1.1015819,1.1020799,1.0996453,1.1011535
59,1.1018357,1.1023716,1.0999088,1.1013756
60,1.1017363,1.1021912,1.0997734,1.1012834
61,1.1026734,1.1032151,1.1007371,1.1022072
62,1.1006451,1.1010753,1.0986695,1.1001928
63,1.0991559,1.0995849,1.0971746,1.0986605
64,1.097394,1.0977887,1.0954168,1.0969039
65,1.0970865,1.097499,1.0951161,1.0965704
66,1.0958942,1.0962924,1.093915,1.095354
67,1.0986652,1.0990505,1.0966744,1.0980823
68,1.1010077,1.1014891,1.0990462,1.1005387
69,1.0985355,1.0989512,1.0965548,1.0980346
70,1.097699,1.0980992,1.0957261,1.097215
71,1.0969245,1.0973135,1.0949421,1.0964186
72,1.0922695,1.0924065,1.090099,1.0914837
73,1.1057599,1.1061691,1.1037211,1.1049428
74,1.1185602,1.1193894,1.1167095,1.1183349
75,1.1180645,1.118872,1.1162124,1.1178344
76,1.1172254,1.1179651,1.1153431,1.1170194
77,1.1139075,1.1146207,1.1119827,1.1135583
78,1.1105882,1.1111599,1.1086422,1.110253
79,1.1142856,1.1150275,1.112407,1.1139383
80,1.1149446,1.1156818,1.1130728,1.114705
81,1.1134814,1.1141728,1.1116002,1.1132358
82,1.1150008,1.1157649,1.1131427,1.1147374
83,1.1152605,1.1160036,1.1133964,1.1150329
84,1.1135304,1.1142175,1.1116153,1.1132199
85,1.1112908,1.111942,1.1093795,1.1109718
86,1.1096263,1.1102778,1.1077175,1.1092757
87,1.1088299,1.1094289,1.1069143,1.1084874
88,1.1098673,1.1104788,1.1079571,1.1095636
89,1.1103146,1.1109552,1.1084148,1.1100148
90,1.1088822,1.1095272,1.1069659,1.108502
91,1.1088818,1.1095284,1.1069853,1.1084974
92,1.1097991,1.1103927,1.1078722,1.1094645
93,1.1103916,1.1110356,1.1084929,1.1100947
94,1.1099693,1.1106007,1.1080658,1.109663
95,1.1096447,1.110282,1.1077447,1.1093341
96,1.108709,1.1092864,1.1067774,1.1083716
97,1.1074519,1.1080455,1.1055188,1.1070665
98,1.1071198,1.1076833,1.105194,1.1067461
99,1.1153913,1.1161034,1.1134896,1.1149454
100,1.1207628,1.1215918,1.1189187,1.1206158
101,1.1213638,1.1222211,1.1195332,1.1212207
102,1.1255236,1.1264004,1.1236804,1.1253395
103,1.1306635,1.131636,1.1288404,1.1305873
104,1.131328,1.1323067,1.1294999,1.1312908
105,1.1311332,1.1321507,1.1293433,1.1311408
106,1.1315769,1.1325995,1.1297853,1.131564
107,1.1313586,1.1323861,1.1295645,1.1313533
108,1.1283274,1.1292696,1.1264783,1.1282246
109,1.1276416,1.1285808,1.1258221,1.1275613
110,1.1279482,1.1289207,1.1261317,1.1278608
111,1.1267926,1.1277279,1.124975,1.1267259
112,1.1259314,1.1268604,1.1241212,1.125864
113,1.1270046,1.1279442,1.1251957,1.1269462
114,1.1270247,1.1279696,1.1252081,1.1269628
115,1.1253502,1.1262124,1.1234915,1.1252452
116,1.126055,1.1270202,1.1242552,1.1259605
117,1.1247894,1.1256789,1.122947,1.1246723
118,1.1240127,1.1249162,1.122189,1.1239053
119,1.123293,1.124164,1.121459,1.123182
120,1.1241572,1.1250451,1.1223304,1.124045
121,1.1222566,1.123088,1.1203667,1.1220434
122,1.1210436,1.121858,1.1191868,1.1208689
123,1.1216892,1.1225251,1.1198345,1.1215261
124,1.1211494,1.1219747,1.1192981,1.1210043
125,1.1210554,1.1218939,1.1192145,1.1209136
126,1.1204673,1.1212963,1.1186223,1.1203206
127,1.1190658,1.1198547,1.1171963,1.1188743
128,1.1179154,1.1186687,1.1160319,1.1176949
129,1.1173712,1.1180906,1.1154778,1.1171602
130,1.1175903,1.1183543,1.1157242,1.1173995
131,1.1170266,1.1177876,1.1151557,1.1168133
132,1.1167253,1.1174809,1.1148623,1.1165254
133,1.1162723,1.1169813,1.1143765,1.1160432
134,1.1160755,1.1168193,1.1141908,1.1158146
135,1.1165316,1.1172475,1.1146452,1.1162955
136,1.1175818,1.1183432,1.1157141,1.1173929
137,1.116256,1.1170002,1.1143743,1.1160264
138,1.1157022,1.1164346,1.1138334,1.1154894
139,1.1159537,1.1166804,1.1140771,1.1157418
140,1.1163023,1.1170481,1.1144336,1.1160899
141,1.1161584,1.1168903,1.1142843,1.1159555
142,1.116189,1.1169361,1.1143236,1.1159865
143,1.1154513,1.1161853,1.1135796,1.11523
144,1.115509,1.1162373,1.1136373,1.1152923
145,1.1161618,1.1169025,1.1142942,1.1159521
146,1.1167953,1.1175227,1.114913,1.116578
147,1.1188529,1.1196905,1.1170148,1.118631
148,1.1192391,1.1200603,1.1173978,1.1190654
149,1.1191958,1.1200032,1.1173495,1.1190355
150,1.118773,1.1195626,1.116914,1.1185961
151,1.1179727,1.1187433,1.1160998,1.1177629
