model,mean_mae_avg_pips,mean_mae_avg_hlc_pips,mean_corr2_avg_ohlc,mean_corr2_avg_hlc,mean_da_body_pct,best_fold,best_fold_mae_avg_pips,total_samples
ARIMA,14.189824753215618,13.89479480602258,0.8797907193673175,0.882096676077854,50.24938829286655,21,12.448178269604274,396
FLF-LSTM,10.579204022627946,12.698094952283355,0.9324966216877506,0.9119644316942841,49.997908693560866,21,9.104954545454557,396
FLF-BiLSTM,11.398662425235829,13.379636618078663,0.9160020166573425,0.8931359472537806,52.20894242633374,21,9.484687499999986,396
