fold,samples_arima,arima_mae_avg_pips,arima_corr2_avg_hlc,arima_da_body_pct,samples_lstm,lstm_mae_avg_pips,lstm_corr2_avg_hlc,lstm_da_body_pct,samples_bilstm,bilstm_mae_avg_pips,bilstm_corr2_avg_hlc,bilstm_da_body_pct,winner_mae,winner_corr2,winner_da
19,138,16.01342842972587,0.9390295374253789,47.82608695652174,138,12.770304347826077,0.9551773252044043,48.55072463768116,138,12.86462318840588,0.9501526201834265,55.79710144927537,lstm,lstm,bilstm
20,126,14.107867560316707,0.8052291392107293,47.61904761904761,126,9.862353174603204,0.8516779890868998,48.41269841269841,126,11.846676587301621,0.8054231402823766,51.587301587301596,lstm,lstm,bilstm
21,132,12.448178269604274,0.902031351597454,55.3030303030303,132,9.104954545454557,0.9290379807915482,53.03030303030303,132,9.484687499999986,0.9238320812955388,49.24242424242424,lstm,lstm,arima
