fold,samples,mae_open_pips,mae_high_pips,mae_low_pips,mae_close_pips,mae_avg_pips,mae_avg_hlc_pips,corr2_open,corr2_high,corr2_low,corr2_close,corr2_avg_ohlc,corr2_avg_hlc,da_body_pct,true_bull,true_bear,true_neutral,pred_bull,pred_bear,pred_neutral,epochs_ran,best_epoch,best_val_loss
19,138,6.830963768116074,13.183753623188423,13.861971014492807,17.58180434782621,12.86462318840588,14.875842995169146,0.9926469974215342,0.9566272492028834,0.9619661341212887,0.9318644772261072,0.9607762144929534,0.9501526201834265,55.79710144927537,69,69,0,70,68,0,29,24,0.0005187448696233
20,126,5.7172936507937555,12.692190476190468,12.369087301587381,16.60813492063488,11.846676587301621,13.889804232804243,0.968612606544483,0.8131325242651363,0.8704155606604004,0.7327213359215932,0.8462205068479032,0.8054231402823766,51.587301587301596,62,64,0,69,57,0,27,22,0.0006772404303774
21,132,3.81896212121214,10.691666666666498,9.759121212121192,13.66900000000011,9.484687499999986,11.373262626262601,0.992541070638068,0.935568683310397,0.942699641857655,0.8932279187185648,0.9410093286311711,0.9238320812955388,49.24242424242424,70,61,1,99,33,0,39,34,0.0003779055259656
