fold,samples,mae_open_pips,mae_high_pips,mae_low_pips,mae_close_pips,mae_avg_pips,mae_avg_hlc_pips,corr2_open,corr2_high,corr2_low,corr2_close,corr2_avg_ohlc,corr2_avg_hlc,da_body_pct,true_bull,true_bear,true_neutral,pred_bull,pred_bear,pred_neutral,order_open,order_high,order_low,order_close
19,138,16.90073785060554,14.741696191559601,15.81704435806149,16.594235318676848,16.01342842972587,15.717658622765981,0.9360952570722572,0.9389536860334272,0.941622437173477,0.9365124890692322,0.9382959673370984,0.9390295374253789,47.82608695652174,69,69,0,69,69,0,"(1, 0, 0)","(2, 1, 2)","(2, 1, 2)","(1, 0, 0)"
20,126,15.42348496386362,13.02524822026893,13.000340349153722,14.982396707980556,14.107867560316707,13.66932842580107,0.7785582855845785,0.816535878468503,0.8163487083259907,0.7828028308376941,0.7985614258041915,0.8052291392107293,47.61904761904761,62,64,0,62,64,0,"(1, 0, 0)","(2, 1, 2)","(2, 1, 2)","(1, 0, 0)"
21,132,12.900520969915036,12.59444658004888,11.514503776491914,12.78324175196126,12.448178269604274,12.297397369500686,0.9039650050502879,0.8852249749617883,0.9151926934788492,0.9056763863517245,0.9025147649606625,0.902031351597454,55.3030303030303,70,61,1,71,61,0,"(1, 0, 0)","(2, 1, 2)","(2, 1, 2)","(1, 0, 0)"
