open,high,low,close
1.02394,1.02475,1.02147,1.02374
1.02373,1.02442,1.02147,1.02183
1.02183,1.02201,1.02025,1.02114
1.02115,1.02143,1.02028,1.02077
1.02077,1.02192,1.02053,1.0213
1.0213,1.02259,1.02018,1.02222
1.02221,1.03462,1.0217,1.03239
1.03241,1.03686,1.03052,1.0325
1.0325,1.03283,1.02945,1.02979
1.02982,1.0304,1.02936,1.02982
1.02982,1.02982,1.02813,1.02831
1.02832,1.03414,1.02754,1.03411
1.03411,1.03517,1.03222,1.0347
1.0347,1.03644,1.03238,1.03301
1.03303,1.03324,1.03095,1.0323
1.03213,1.03273,1.03067,1.0313
1.0313,1.03217,1.03051,1.03175
1.03176,1.03242,1.0288,1.03021
1.03021,1.03083,1.02688,1.02706
1.02707,1.02841,1.0238,1.02565
1.02566,1.02678,1.02538,1.02576
1.02539,1.02672,1.02531,1.02662
1.02662,1.02683,1.02397,1.02504
1.02504,1.02522,1.02,1.02071
1.02072,1.02146,1.01859,1.02006
1.02006,1.02232,1.01715,1.01757
1.01757,1.01783,1.01546,1.01582
1.01581,1.01671,1.01473,1.01536
1.01536,1.01696,1.01489,1.01588
1.01588,1.01687,1.0134,1.0139
1.0139,1.01464,1.01224,1.01437
1.01437,1.01947,1.0143,1.01658
1.01658,1.01806,1.0162,1.017
1.01687,1.01746,1.01636,1.01706
1.01706,1.01837,1.01667,1.01814
1.01814,1.01866,1.01493,1.01739
1.01739,1.01838,1.01455,1.01583
1.01583,1.01985,1.0153,1.01653
1.01653,1.02028,1.01628,1.01762
1.01753,1.0193,1.01727,1.0188
1.0188,1.01913,1.01629,1.01669
1.01669,1.01784,1.01459,1.01669
1.01669,1.01882,1.01578,1.017
1.01703,1.01721,1.00889,1.00901
1.009,1.00992,1.00795,1.00861
1.00845,1.00919,1.0074,1.00792
1.00792,1.00869,1.00697,1.0076
1.00759,1.00954,1.0074,1.00885
1.00885,1.0089,1.00454,1.0065
1.0065,1.00685,1.00326,1.00359
1.00359,1.00458,1.00319,1.00399
1.00338,1.00405,1.00249,1.00255
1.00255,1.00465,1.00235,1.00381
1.00381,1.00395,0.9989,1.00138
1.00138,1.00183,0.99953,1.00062
1.00062,1.00074,0.99276,0.99319
0.99319,0.99462,0.9926,0.99407
0.99402,0.99501,0.99301,0.99397
0.99397,0.99492,0.99345,0.99345
0.99345,0.99497,0.99,0.99321
0.99321,0.99405,0.99128,0.99238
0.99238,1.00181,0.99205,0.9979
0.99788,0.99803,0.99595,0.99659
0.99667,0.99734,0.99519,0.99526
0.99526,0.99606,0.99429,0.99573
0.99573,0.9962,0.99346,0.99461
0.99461,0.99583,0.99145,0.99283
0.99283,0.99988,0.991,0.99532
0.99533,0.99756,0.99514,0.99668
0.99655,0.99876,0.99618,0.99825
0.99824,1.0008,0.9976,0.99988
0.99988,1.00334,0.99871,1.0007
1.0007,1.00112,0.99632,0.99693
