model,mean_mae_avg_pips,mean_mae_avg_hlc_pips,mean_corr2_avg_ohlc,mean_corr2_avg_hlc,mean_da_body_pct,best_fold,best_fold_mae_avg_pips,total_samples
ARIMA,37.63201257408975,36.01136181552848,0.47616673778112134,0.49225271284763855,40.68950373298199,20,35.839178062587266,66
FLF-LSTM,32.31391734895548,37.18765232030452,0.6208606409774097,0.5530524813738598,51.656314699792965,20,28.180642857143027,66
FLF-BiLSTM,26.227081482527183,32.35176569002652,0.692934618843401,0.596283145411361,51.656314699792965,20,23.11534523809534,66
