model,mean_mae_avg_pips,mean_atr12_pips,mae_avg_pct_atr12,avg_error_le_atr12_pct,avg_error_gt_atr12_pct,avg_error_le_atr6_pct,avg_error_gt_atr6_pct
ARIMA,37.63201257408974,81.28915291632687,46.29401491343549,98.55072463768116,1.4492753623188435,98.55072463768116,1.4492753623188435
FLF-LSTM,32.31391734895547,81.28915291632687,39.751819510552735,98.55072463768116,1.4492753623188435,98.55072463768116,1.4492753623188435
FLF-BiLSTM,26.227081482527183,81.28915291632687,32.263937489327056,100.0,0.0,100.0,0.0
