datetime	Open	High	Low	Close
2018.01.02 00:00	1.20088	1.20812	1.20007	1.20579
2018.01.03 00:00	1.20579	1.20661	1.20010	1.20142
2018.01.04 00:00	1.20142	1.20889	1.20043	1.20678
2018.01.05 00:00	1.20678	1.20828	1.20206	1.20298
2018.01.08 00:00	1.20268	1.20523	1.19556	1.19669
2018.01.09 00:00	1.19669	1.19756	1.19155	1.19364
2018.01.10 00:00	1.19364	1.20181	1.19232	1.19474
2018.01.11 00:00	1.19474	1.20588	1.19293	1.20314
2018.01.12 00:00	1.20314	1.22185	1.20308	1.22006
2018.01.15 00:00	1.21937	1.22960	1.21869	1.22615
2018.01.16 00:00	1.22616	1.22828	1.21941	1.22582
2018.01.17 00:00	1.22580	1.23227	1.21757	1.21831
2018.01.18 00:00	1.21830	1.22643	1.21646	1.22358
2018.01.19 00:00	1.22357	1.22949	1.22139	1.22144
2018.01.22 00:00	1.22693	1.22719	1.22131	1.22603
2018.01.23 00:00	1.22596	1.23056	1.22223	1.22971
2018.01.24 00:00	1.22969	1.24144	1.22894	1.24057
2018.01.25 00:00	1.24059	1.25372	1.23633	1.23930
2018.01.26 00:00	1.23928	1.24930	1.23693	1.24283
2018.01.29 00:00	1.24243	1.24317	1.23360	1.23801
2018.01.30 00:00	1.23799	1.24534	1.23340	1.24010
2018.01.31 00:00	1.24003	1.24743	1.23862	1.24119
2018.02.01 00:00	1.24122	1.25226	1.23844	1.25078
2018.02.02 00:00	1.25075	1.25177	1.24084	1.24549
2018.02.05 00:00	1.24345	1.24744	1.23611	1.23654
2018.02.06 00:00	1.23646	1.24341	1.23131	1.23756
2018.02.07 00:00	1.23743	1.24057	1.22450	1.22616
2018.02.08 00:00	1.22612	1.22944	1.22115	1.22455
2018.02.09 00:00	1.22443	1.22865	1.22049	1.22496
2018.02.12 00:00	1.22417	1.22967	1.22343	1.22893
2018.02.13 00:00	1.22889	1.23705	1.22839	1.23490
2018.02.14 00:00	1.23489	1.24640	1.22751	1.24477
2018.02.15 00:00	1.24483	1.25097	1.24473	1.25050
2018.02.16 00:00	1.25042	1.25553	1.23921	1.24094
2018.02.19 00:00	1.24017	1.24345	1.23683	1.24057
2018.02.20 00:00	1.24059	1.24117	1.23191	1.23355
2018.02.21 00:00	1.23358	1.23594	1.22805	1.22809
2018.02.22 00:00	1.22807	1.23515	1.22589	1.23280
2018.02.23 00:00	1.23279	1.23369	1.22791	1.22930
2018.02.26 00:00	1.22924	1.23543	1.22769	1.23151
2018.02.27 00:00	1.23154	1.23459	1.22206	1.22309
2018.02.28 00:00	1.22310	1.22411	1.21873	1.21911
2018.03.01 00:00	1.21917	1.22726	1.21540	1.22640
2018.03.02 00:00	1.22618	1.23353	1.22508	1.23177
2018.03.05 00:00	1.23344	1.23641	1.22683	1.23336
2018.03.06 00:00	1.23339	1.24198	1.23274	1.24023
2018.03.07 00:00	1.24022	1.24453	1.23842	1.24095
2018.03.08 00:00	1.24098	1.24454	1.22975	1.23087
2018.03.09 00:00	1.23091	1.23336	1.22725	1.23036
2018.03.12 00:00	1.23100	1.23451	1.22898	1.23336
2018.03.13 00:00	1.23339	1.24070	1.23138	1.23899
2018.03.14 00:00	1.23902	1.24121	1.23464	1.23665
2018.03.15 00:00	1.23668	1.23832	1.22996	1.23030
2018.03.16 00:00	1.23029	1.23355	1.22596	1.22874
2018.03.19 00:00	1.22882	1.23582	1.22573	1.23331
2018.03.20 00:00	1.23333	1.23541	1.22389	1.22423
2018.03.21 00:00	1.22426	1.23494	1.22405	1.23373
2018.03.22 00:00	1.23376	1.23879	1.22846	1.23051
2018.03.23 00:00	1.23054	1.23728	1.23050	1.23514
2018.03.26 00:00	1.23486	1.24612	1.23484	1.24415
2018.03.27 00:00	1.24411	1.24761	1.23713	1.24005
2018.03.28 00:00	1.24009	1.24212	1.22989	1.23061
2018.03.29 00:00	1.23062	1.23352	1.22833	1.22989
2018.03.30 00:00	1.22988	1.23303	1.22894	1.23207
