datetime,open,high,low,close,segment
2018-07-02,1.16725,1.16882,1.15898,1.16372,train_core
2018-07-03,1.16369,1.16737,1.16196,1.16551,train_core
2018-07-04,1.1655,1.16824,1.16293,1.16541,train_core
2018-07-05,1.16544,1.17211,1.1649,1.16897,train_core
2018-07-06,1.16888,1.17692,1.16804,1.17433,train_core
2018-07-09,1.1743,1.17919,1.17328,1.17511,train_core
2018-07-10,1.17492,1.17634,1.16893,1.17425,train_core
2018-07-11,1.17436,1.17588,1.16637,1.16692,train_core
2018-07-12,1.16696,1.16948,1.16483,1.16678,train_core
2018-07-13,1.16679,1.16868,1.16108,1.16834,train_core
2018-07-16,1.169,1.17266,1.16758,1.17109,train_core
2018-07-17,1.17092,1.17455,1.16475,1.16578,train_core
2018-07-18,1.16566,1.16632,1.15997,1.16359,train_core
2018-07-19,1.16357,1.16768,1.15728,1.16385,train_core
2018-07-20,1.16382,1.17371,1.16244,1.17177,train_core
2018-07-23,1.17249,1.17498,1.1682,1.16883,train_core
2018-07-24,1.16883,1.17152,1.16528,1.16849,train_core
2018-07-25,1.16851,1.17383,1.16624,1.17279,train_core
2018-07-26,1.17269,1.17447,1.16384,1.16398,train_core
2018-07-27,1.16398,1.16631,1.16184,1.16542,train_core
2018-07-30,1.16543,1.17201,1.16467,1.17047,train_core
2018-07-31,1.17045,1.17485,1.16835,1.169,train_core
2018-08-01,1.16901,1.17,1.16557,1.16565,train_core
2018-08-02,1.16576,1.16661,1.15784,1.15812,train_core
2018-08-03,1.15811,1.16085,1.15573,1.15638,train_core
2018-08-06,1.15665,1.15684,1.15274,1.15503,train_core
2018-08-07,1.15491,1.16066,1.15472,1.15954,train_core
2018-08-08,1.15956,1.16269,1.15712,1.16076,train_core
2018-08-09,1.16075,1.16178,1.15217,1.15232,train_core
2018-08-10,1.15224,1.15341,1.1386,1.14073,train_core
2018-08-13,1.13704,1.14316,1.13631,1.14083,train_core
2018-08-14,1.14082,1.14282,1.13278,1.13407,train_core
2018-08-15,1.13438,1.13537,1.12993,1.13423,train_core
2018-08-16,1.1344,1.14084,1.13343,1.13742,train_core
2018-08-17,1.1374,1.14451,1.13652,1.14377,train_core
2018-08-20,1.14379,1.14855,1.13931,1.14812,train_core
2018-08-21,1.14817,1.16017,1.14804,1.157,train_core
2018-08-22,1.157,1.16237,1.15538,1.15961,train_core
2018-08-23,1.15958,1.16009,1.15299,1.1538,train_core
2018-08-24,1.15382,1.16405,1.15349,1.1622,train_core
2018-08-27,1.16174,1.16944,1.15951,1.16791,train_core
2018-08-28,1.16782,1.17345,1.16632,1.16939,train_core
2018-08-29,1.16939,1.17102,1.16525,1.1706,train_core
2018-08-30,1.17061,1.17191,1.16423,1.1671,train_core
2018-08-31,1.1671,1.16909,1.15854,1.16009,train_core
2018-09-03,1.1596,1.16288,1.15898,1.1619,train_core
2018-09-04,1.16182,1.16198,1.1531,1.15801,train_core
2018-09-05,1.15799,1.16413,1.15432,1.16293,train_core
2018-09-06,1.16298,1.16603,1.16061,1.1622,train_core
2018-09-07,1.16217,1.16503,1.15515,1.15537,train_core
2018-09-10,1.15494,1.16171,1.15265,1.1591,train_core
2018-09-11,1.15913,1.16451,1.15662,1.16054,train_core
2018-09-12,1.16047,1.16506,1.15709,1.16255,train_core
2018-09-13,1.16251,1.17021,1.161,1.16896,train_core
2018-09-14,1.16898,1.17226,1.16215,1.16222,train_core
2018-09-17,1.16245,1.16991,1.16188,1.16823,train_core
2018-09-18,1.16826,1.17254,1.16528,1.16649,train_core
2018-09-19,1.16647,1.17158,1.16507,1.16721,train_core
2018-09-20,1.16714,1.17855,1.16696,1.17775,train_core
2018-09-21,1.17767,1.18037,1.17337,1.1749,train_core
2018-09-24,1.17477,1.18161,1.1725,1.17476,train_core
2018-09-25,1.17485,1.17936,1.17317,1.17648,train_core
2018-09-26,1.17649,1.1797,1.17244,1.17365,train_core
2018-09-27,1.17364,1.17565,1.16366,1.1638,train_core
2018-09-28,1.16379,1.16497,1.15674,1.16007,train_core
2018-10-01,1.16146,1.16236,1.15617,1.15754,train_core
2018-10-02,1.15754,1.15785,1.15044,1.15436,train_core
2018-10-03,1.1546,1.15931,1.14629,1.14749,train_core
2018-10-04,1.14752,1.15422,1.14624,1.15121,train_core
2018-10-05,1.15125,1.15493,1.14833,1.15177,train_core
2018-10-08,1.15209,1.15291,1.14591,1.14892,train_core
2018-10-09,1.14891,1.15028,1.14313,1.1488,train_core
2018-10-10,1.14887,1.15452,1.14792,1.15183,train_core
2018-10-11,1.15181,1.15992,1.1518,1.15923,train_core
2018-10-12,1.15913,1.16105,1.15337,1.15576,train_core
2018-10-15,1.15386,1.16061,1.15378,1.1577,train_core
2018-10-16,1.15769,1.16216,1.15652,1.15723,train_core
2018-10-17,1.15725,1.158,1.14944,1.14983,train_core
2018-10-18,1.1499,1.15267,1.14483,1.14506,train_core
2018-10-19,1.14508,1.15331,1.14311,1.1511,train_core
2018-10-22,1.15149,1.155,1.14547,1.14623,train_core
2018-10-23,1.14627,1.1493,1.14381,1.14685,train_core
2018-10-24,1.14688,1.14758,1.13776,1.13894,train_core
2018-10-25,1.13894,1.1432,1.13552,1.1373,train_core
2018-10-26,1.13709,1.14206,1.13348,1.14011,train_core
2018-10-29,1.13974,1.14157,1.13598,1.13707,train_core
2018-10-30,1.13707,1.13871,1.13396,1.13418,train_core
2018-10-31,1.13419,1.13593,1.13011,1.13123,train_core
2018-11-01,1.13135,1.14242,1.1311,1.1401,train_core
2018-11-02,1.1401,1.14559,1.13714,1.13856,train_core
2018-11-05,1.13854,1.14235,1.13521,1.14052,train_core
2018-11-06,1.14053,1.14375,1.13907,1.14244,train_core
2018-11-07,1.14228,1.15017,1.13938,1.14235,train_core
2018-11-08,1.14257,1.14462,1.13506,1.13609,train_core
2018-11-09,1.13609,1.13681,1.13153,1.13329,train_core
2018-11-12,1.13192,1.13298,1.12139,1.1215,train_core
2018-11-13,1.12155,1.1293,1.12146,1.12875,train_core
2018-11-14,1.12882,1.1347,1.12623,1.13091,train_core
2018-11-15,1.1305,1.13619,1.12697,1.13237,train_core
2018-11-16,1.13236,1.14204,1.13209,1.14167,train_core
2018-11-19,1.14126,1.14646,1.13939,1.14507,train_core
2018-11-20,1.14509,1.14724,1.13587,1.13688,train_core
2018-11-21,1.13689,1.1425,1.13655,1.13821,train_core
2018-11-22,1.13821,1.14341,1.13796,1.14004,train_core
2018-11-23,1.13994,1.14214,1.13277,1.13344,train_core
2018-11-26,1.13389,1.13839,1.13246,1.13259,train_core
2018-11-27,1.13262,1.13439,1.12773,1.12846,train_core
2018-11-28,1.12846,1.13879,1.12672,1.13654,train_core
2018-11-29,1.13653,1.14018,1.13487,1.1391,train_core
2018-11-30,1.1391,1.14004,1.13055,1.13182,train_core
2018-12-03,1.13513,1.13798,1.13192,1.13517,train_core
2018-12-04,1.13514,1.14188,1.13182,1.13419,train_core
2018-12-05,1.13421,1.13608,1.131,1.13432,train_core
2018-12-06,1.13432,1.14129,1.13203,1.13756,train_core
