model,epochs_ran,best_epoch,best_val_loss,final_train_loss,final_val_loss,mae_open_pips,mae_high_pips,mae_low_pips,mae_close_pips,mae_avg_pips
FLF-LSTM,31,26,0.0030496260151267,0.0043870662339031,0.0041760653257369,25.475909090909173,32.767136363636354,35.52431818181828,41.912499999999994,33.91996590909095
FLF-BiLSTM,25,20,0.0049034408293664,0.0079907607287168,0.0100246695801615,21.59340909090908,30.966181818181873,31.99577272727279,37.61640909090894,30.542943181818174
