model,best_job,window,units,lr,mae_avg_pips
LSTM,lstm_d1_s3_lr9e4,4,128,0.0009,31.867420454545417
BiLSTM,bilstm_d1_s3_lr7e4,6,96,0.0007,28.824499999999784
