datetime,open,high,low,close,atr14,rsi14,delta_close_open,theta,dir_class,dir_name,dir_binary,dir_mask
2019-09-26 00:00:00,1.09401,1.09535,1.09394,1.09503,0.0018164285714285,34.45127513555049,0.00102,0.0001816428571428,1,bullish,1.0,1
2019-09-26 04:00:00,1.09502,1.09636,1.095,1.09606,0.0018264285714285,38.60660333280853,0.0010399999999999,0.0001826428571428,1,bullish,1.0,1
2019-09-26 08:00:00,1.09605,1.09607,1.09318,1.0938,0.00198,33.57694826085044,-0.0022499999999998,0.000198,-1,bearish,0.0,1
2019-09-26 12:00:00,1.0938,1.09537,1.09213,1.09461,0.0021628571428571,36.75711259148761,0.0008099999999999,0.0002162857142857,1,bullish,1.0,1
2019-09-26 16:00:00,1.09461,1.0966,1.09208,1.09241,0.0023957142857142,32.241940983185216,-0.0021999999999999,0.0002395714285714,-1,bearish,0.0,1
2019-09-26 20:00:00,1.09241,1.09321,1.09076,1.0918,0.0024157142857142,31.101162471016508,-0.0006099999999999,0.0002415714285714,-1,bearish,0.0,1
2019-09-27 00:00:00,1.09181,1.09217,1.09035,1.09149,0.0023692857142857,30.51035769842727,-0.0003199999999998,0.0002369285714285,-1,bearish,0.0,1
2019-09-27 04:00:00,1.09149,1.09242,1.09101,1.09201,0.002285,32.81583386700531,0.0005199999999998,0.0002285,1,bullish,1.0,1
2019-09-27 08:00:00,1.09201,1.09273,1.09054,1.0922,0.0023271428571428,33.6816176094069,0.0001900000000001,0.0002327142857142,0,ranging,,0
2019-09-27 12:00:00,1.09222,1.09473,1.09186,1.09361,0.0024292857142857,39.87396426731857,0.00139,0.0002429285714285,1,bullish,1.0,1
2019-09-27 16:00:00,1.09361,1.09575,1.09254,1.0943,0.0025835714285714,42.69388539727831,0.00069,0.0002583571428571,1,bullish,1.0,1
2019-09-27 20:00:00,1.0943,1.09462,1.09363,1.09363,0.0024521428571428,40.69790250961741,-0.0006699999999999,0.0002452142857142,-1,bearish,0.0,1
2019-09-30 00:00:00,1.09389,1.0945,1.09343,1.09355,0.0021828571428571,40.45470448984436,-0.00034,0.0002182857142857,-1,bearish,0.0,1
2019-09-30 04:00:00,1.09355,1.09362,1.09288,1.09352,0.002155,40.35731183848378,-2.999999999997449e-05,0.0002155,0,ranging,,0
2019-09-30 08:00:00,1.09353,1.09465,1.09299,1.09323,0.0021728571428571,39.37059938617396,-0.0002999999999999,0.0002172857142857,-1,bearish,0.0,1
2019-09-30 12:00:00,1.09323,1.09334,1.08844,1.08971,0.0024257142857142,29.83540310568722,-0.0035199999999999,0.0002425714285714,-1,bearish,0.0,1
2019-09-30 16:00:00,1.0897,1.09121,1.08895,1.09016,0.0023807142857142,32.099450093485245,0.0004600000000001,0.0002380714285714,1,bullish,1.0,1
2019-09-30 20:00:00,1.09016,1.09044,1.08919,1.08952,0.0022385714285714,30.58774523347484,-0.0006399999999999,0.0002238571428571,-1,bearish,0.0,1
2019-10-01 00:00:00,1.08952,1.08992,1.08938,1.08947,0.0019542857142856,30.467026629977923,-5.000000000010552e-05,0.0001954285714285,0,ranging,,0
2019-10-01 04:00:00,1.08948,1.08957,1.08841,1.08896,0.0018621428571428,29.20109365972712,-0.00052,0.0001862142857142,-1,bearish,0.0,1
2019-10-01 08:00:00,1.08896,1.08941,1.08776,1.0892,0.0018499999999999,30.661194146338204,0.00024,0.0001849999999999,1,bullish,1.0,1
2019-10-01 12:00:00,1.08919,1.09064,1.08878,1.08941,0.0018821428571428,31.982996223311616,0.0002199999999998,0.0001882142857142,1,bullish,1.0,1
2019-10-01 16:00:00,1.08942,1.09415,1.08829,1.09368,0.0021442857142856,52.01384291250605,0.0042599999999999,0.0002144285714285,1,bullish,1.0,1
2019-10-01 20:00:00,1.09367,1.0939,1.09239,1.09304,0.0020471428571428,49.653534465804526,-0.0006299999999999,0.0002047142857142,-1,bearish,0.0,1
2019-10-02 00:00:00,1.09301,1.09404,1.09268,1.09379,0.0019149999999999,52.38062456487001,0.00078,0.0001914999999999,1,bullish,1.0,1
2019-10-02 04:00:00,1.09379,1.09392,1.09306,1.09325,0.0019057142857142,50.269320919100586,-0.0005399999999999,0.0001905714285714,-1,bearish,0.0,1
2019-10-02 08:00:00,1.09325,1.0936,1.09028,1.09041,0.0020664285714285,40.926222042902246,-0.0028399999999999,0.0002066428571428,-1,bearish,0.0,1
2019-10-02 12:00:00,1.09042,1.09339,1.09032,1.09298,0.0022328571428571,49.98531879652311,0.0025600000000001,0.0002232857142857,1,bullish,1.0,1
2019-10-02 16:00:00,1.09298,1.09586,1.09283,1.09576,0.0023307142857142,57.565885175500135,0.00278,0.0002330714285714,1,bullish,1.0,1
2019-10-02 20:00:00,1.09576,1.0963,1.09543,1.09581,0.0020428571428571,57.690095041029785,4.999999999988347e-05,0.0002042857142857,0,ranging,,0
2019-10-03 00:00:00,1.09581,1.09645,1.0958,1.096,0.0019278571428571,58.19091301620257,0.0001900000000001,0.0001927857142857,0,ranging,,0
2019-10-03 04:00:00,1.09601,1.09613,1.09545,1.09579,0.0018871428571428,57.38243684755063,-0.0002199999999998,0.0001887142857142,-1,bearish,0.0,1
2019-10-03 08:00:00,1.09581,1.09732,1.09405,1.09633,0.0020821428571428,58.961371087142055,0.00052,0.0002082142857142,1,bullish,1.0,1
2019-10-03 12:00:00,1.09634,1.097,1.09445,1.09616,0.0021814285714285,58.22995962308271,-0.00018,0.0002181428571428,0,ranging,,0
2019-10-03 16:00:00,1.09616,1.09991,1.09521,1.0983,0.0023992857142857,64.24312657078605,0.00214,0.0002399285714285,1,bullish,1.0,1
2019-10-03 20:00:00,1.09829,1.09871,1.09625,1.09635,0.0024421428571428,56.2910069325584,-0.00194,0.0002442142857142,-1,bearish,0.0,1
2019-10-04 00:00:00,1.09635,1.09792,1.09623,1.09791,0.0021442857142857,60.50306458174313,0.00156,0.0002144285714285,1,bullish,1.0,1
2019-10-04 04:00:00,1.0979,1.0984,1.09705,1.09707,0.0021328571428571,57.30103498119109,-0.0008300000000001,0.0002132857142857,-1,bearish,0.0,1
2019-10-04 08:00:00,1.09706,1.09783,1.09643,1.09737,0.0021357142857143,58.15284080027728,0.00031,0.0002135714285714,1,bullish,1.0,1
2019-10-04 12:00:00,1.09737,1.09972,1.09573,1.09647,0.0023592857142857,54.63177223940835,-0.0008999999999999,0.0002359285714285,-1,bearish,0.0,1
2019-10-04 16:00:00,1.09647,1.09872,1.09596,1.09843,0.0023192857142857,60.27315841916538,0.0019599999999999,0.0002319285714285,1,bullish,1.0,1
2019-10-04 20:00:00,1.09844,1.09863,1.09732,1.09763,0.0021935714285714,57.149489679313305,-0.0008099999999999,0.0002193571428571,-1,bearish,0.0,1
2019-10-07 00:00:00,1.09809,1.09883,1.09728,1.09882,0.0020878571428571,60.43423879819446,0.0007299999999998,0.0002087857142857,1,bullish,1.0,1
2019-10-07 04:00:00,1.09882,1.09904,1.09782,1.09805,0.0021128571428571,57.36975286230333,-0.0007699999999999,0.0002112857142857,-1,bearish,0.0,1
2019-10-07 08:00:00,1.09804,1.09844,1.0962,1.09638,0.0022264285714285,51.29460696640937,-0.0016599999999999,0.0002226428571428,-1,bearish,0.0,1
2019-10-07 12:00:00,1.09638,1.09991,1.09632,1.09989,0.0024342857142857,60.71162020803461,0.0035100000000001,0.0002434285714285,1,bullish,1.0,1
2019-10-07 16:00:00,1.09989,1.10019,1.09788,1.0983,0.0023657142857142,55.47877725751062,-0.0015899999999999,0.0002365714285714,-1,bearish,0.0,1
2019-10-07 20:00:00,1.0983,1.09845,1.09698,1.09703,0.0022885714285714,51.64944691467178,-0.0012700000000001,0.0002288571428571,-1,bearish,0.0,1
2019-10-08 00:00:00,1.09696,1.09747,1.09655,1.09693,0.0020185714285714,51.34890289976051,-2.999999999997449e-05,0.0002018571428571,0,ranging,,0
2019-10-08 04:00:00,1.09691,1.09788,1.09666,1.09768,0.0019299999999999,53.53281290714219,0.0007699999999999,0.0001929999999999,1,bullish,1.0,1
2019-10-08 08:00:00,1.09767,1.09923,1.09741,1.09912,0.0019392857142856,57.47944744181648,0.0014500000000001,0.0001939285714285,1,bullish,1.0,1
2019-10-08 12:00:00,1.09913,1.09965,1.09833,1.09851,0.0019371428571428,55.33539421216928,-0.0006199999999998,0.0001937142857142,-1,bearish,0.0,1
2019-10-08 16:00:00,1.09851,1.09872,1.09444,1.0952,0.002142857142857,45.432306860414734,-0.0033100000000001,0.0002142857142857,-1,bearish,0.0,1
2019-10-08 20:00:00,1.09521,1.09607,1.09404,1.0955,0.0020028571428571,46.36913589122882,0.0002899999999999,0.0002002857142857,1,bullish,1.0,1
2019-10-09 00:00:00,1.09541,1.09607,1.09501,1.09574,0.0018814285714285,47.1508313277672,0.0003299999999999,0.0001881428571428,1,bullish,1.0,1
2019-10-09 04:00:00,1.09574,1.09651,1.09571,1.09617,0.001845,48.596463090613504,0.0004300000000001,0.0001845,1,bullish,1.0,1
2019-10-09 08:00:00,1.0962,1.09901,1.09554,1.09845,0.0019821428571428,55.54082015527526,0.0022499999999998,0.0001982142857142,1,bullish,1.0,1
2019-10-09 12:00:00,1.09845,1.09906,1.09721,1.09754,0.0020271428571428,52.49271924671455,-0.0009099999999999,0.0002027142857142,-1,bearish,0.0,1
2019-10-09 16:00:00,1.09752,1.09841,1.09706,1.09734,0.0019635714285714,51.81961164932558,-0.00018,0.0001963571428571,0,ranging,,0
