datetime,open,high,low,close,atr14,rsi14,delta_close_open,theta,dir_class,dir_name,dir_binary,dir_mask,atr6,atr12
2019-09-12 00:00:00,1.10084,1.10131,1.10063,1.10094,,41.53077468320477,9.9999999999989e-05,0.0001699285714285,0,ranging,,0,,
2019-09-12 04:00:00,1.10095,1.10142,1.10076,1.10128,,43.37671846540175,0.0003299999999999,0.0001624285714285,1,bullish,1.0,1,,
2019-09-12 08:00:00,1.10128,1.10315,1.10045,1.10262,,50.067610812779,0.0013399999999998,0.0001750714285714,1,bullish,1.0,1,,
2019-09-12 12:00:00,1.10262,1.10682,1.09256,1.09449,,28.25366500823884,-0.0081299999999999,0.0002720714285714,-1,bearish,0.0,1,,
2019-09-12 16:00:00,1.09449,1.10795,1.09392,1.10673,,57.95465150008955,0.01224,0.000356,1,bullish,1.0,1,,
2019-09-12 20:00:00,1.10671,1.10867,1.10604,1.10617,,56.79618988484384,-0.0005399999999999,0.0003644285714285,-1,bearish,0.0,1,0.00582666666666672,
2019-09-13 00:00:00,1.10628,1.10657,1.10546,1.10635,,57.09307600364063,7.00000000000145e-05,0.0003567857142857,0,ranging,,0,0.005898333333333376,
2019-09-13 04:00:00,1.10635,1.10726,1.10621,1.10686,,57.97425794544197,0.00051,0.0003552142857142,1,bullish,1.0,1,0.005963333333333358,
2019-09-13 08:00:00,1.10684,1.11087,1.10669,1.10911,,61.71034264049863,0.0022699999999999,0.0003705714285714,1,bullish,1.0,1,0.0062100000000000115,
2019-09-13 12:00:00,1.10912,1.11068,1.10792,1.10879,,60.88137435886093,-0.0003300000000001,0.0003817142857142,0,ranging,,0,0.004293333333333334,
2019-09-13 16:00:00,1.10878,1.10884,1.10609,1.10757,,57.69905895014472,-0.0012100000000001,0.0003795,-1,bearish,0.0,1,0.0024133333333333415,
2019-09-13 20:00:00,1.10756,1.10799,1.10664,1.10706,,56.37251628266221,-0.0005000000000001,0.0003666428571428,-1,bearish,0.0,1,0.0021999999999999797,0.0040133333333333505
2019-09-16 00:00:00,1.10719,1.1086,1.10682,1.10752,,57.32551672764474,0.0003300000000001,0.0003628571428571,0,ranging,,0,0.002311666666666675,0.004105000000000025
2019-09-16 04:00:00,1.10754,1.10792,1.10696,1.10727,0.0036357142857143137,56.6018634590887,-0.0002699999999999,0.0003635714285714,0,ranging,,0,0.0022966666666666877,0.0041300000000000225
