fold,mae_open,mae_high,mae_low,mae_close,mae_avg
1,0.002649411948051943,0.0029866542857142895,0.002969885974025978,0.0031003516883116853,0.002926575974025974
2,0.0005163392307692343,0.000989892051282054,0.001100248461538461,0.0015566630769230753,0.001040785705128206
3,0.00025637853535352906,0.0009153977272727276,0.00099115681818182,0.0010489873737373706,0.0008029801136363618
4,0.00023194117647059112,0.0008909237851662358,0.0010891854219948905,0.0012582404092071624,0.00086757269820972
5,0.0006719271099744317,0.001213373657289002,0.0014773237851662376,0.0018568565217391287,0.0013048702685422
6,0.003348953589743588,0.003769574615384617,0.003883809999999998,0.0042419761538461465,0.003811078589743587
7,0.004477457564102557,0.0057070676410256385,0.0048547946153846165,0.006218294999999996,0.005314403705128202
8,0.0010776787012987017,0.0019298095064935073,0.0017813899999999997,0.0023485408831168814,0.0017843547727272725
9,0.00035119590792839057,0.0014061140664961601,0.0013257132992327346,0.0018659099744245567,0.0012372333120204604
10,0.00045547717948717824,0.0012232933333333285,0.000993588205128203,0.0015271982051282057,0.0010498892307692288
11,0.0006871133333333334,0.001401896153846161,0.0011511171794871733,0.0016440743589743482,0.001221050256410254
12,0.0006802272727272717,0.0010771942857142924,0.001037438701298701,0.0014406592207792186,0.001058879870129871
13,0.000156859230769232,0.0007043766666666535,0.0007847984615384581,0.001093665641025644,0.0006849249999999968
14,0.00023139641943733448,0.000759531713554981,0.0007983442455242964,0.0011148877237851693,0.0007260400255754453
15,0.00018459471032745024,0.0007580158690176404,0.0008130959697733028,0.0011216770780856375,0.0007193459068010077
16,0.00029514948186528116,0.0008772329015544009,0.001163756476683934,0.0013619841968911988,0.0009245307642487037
17,0.0003339708333333369,0.0012845598958333294,0.001155304427083334,0.0016716473958333442,0.0011113706380208362
18,0.0012554556410256468,0.0021715894871794823,0.0018601571794871707,0.0025851902564102557,0.001968098141025639
19,0.000656195959595959,0.003051369191919189,0.0013130924242424201,0.0034777886363636366,0.002124611553030301
