name,job,fold_count,mae_avg_pips,mae_open_pips,mae_high_pips,mae_low_pips,mae_close_pips,mae_avg_std_pips,summary_csv,train_seconds,window,units,activation,lr,epochs,lambda_coef,sigma_coef,batch
bilstm_tvt_s5_w12_h256_acttanh_lr0.0003_e50_lam0.8_sig0.15_b128,bilstm_tvt_s5_batch128,6,13.665075124759518,5.560682533670061,14.798116432178915,14.736922739297702,19.56457879389139,2.6316156961979846,/home/hduser/jupyter/gust/RisetEU/FLF_BILSTM/results/tvt_v02/bilstm_pipeline_h4_tuning_last6/bilstm_tvt_s5_batch128/rolling_tvt_summary.csv,113.51565978303552,12,256,tanh,0.0003,50,0.8,0.15,128
bilstm_tvt_s5_w12_h256_acttanh_lr0.0003_e50_lam0.8_sig0.15_b64,bilstm_tvt_s5_batch64,6,13.677980030964415,5.974975426887979,14.530712596200104,14.479519889369845,19.726712211399725,2.227707223210618,/home/hduser/jupyter/gust/RisetEU/FLF_BILSTM/results/tvt_v02/bilstm_pipeline_h4_tuning_last6/bilstm_tvt_s5_batch64/rolling_tvt_summary.csv,117.59514211805072,12,256,tanh,0.0003,50,0.8,0.15,64
