scope,fold,target,n,bias_mean_pips,median_resid_pips,std_resid_pips,mae_pips,rmse_pips,min_resid_pips,max_resid_pips,lag1_autocorr,ljungbox_p_lag5,ljungbox_p_lag10,ljungbox_p_lag20,jarque_bera_pvalue
combined,all,open,396,-0.1504564835230312,0.1542103413898488,21.699994864936333,15.097297214290819,21.673100809364204,-83.93477936286642,139.16584937841537,-0.02780689999530332,0.021925149412786185,0.027796589087813715,0.0027573460630218915,3.774217199515103e-171
combined,all,high,396,-0.15634538413535493,0.30343917176045565,21.009066859326378,13.479803784736268,20.983105965775398,-96.03203921952685,119.8430138754314,-0.06972647180219797,0.03598626730061625,0.08690112837922279,0.006543886166012838,1.2911708420772126e-231
combined,all,low,396,-0.10713561726768361,0.6624947758193667,20.61901013625481,13.486640161370673,20.59323826266777,-71.51599855444113,146.18873939707956,-0.058829909262771436,0.25202339121847234,0.09509727254574595,0.0565662238733966,0.0
combined,all,close,396,-0.237870687409065,-0.5980036286090673,21.459204442282157,14.81104639000465,21.433412360091733,-83.93978472541752,138.66142185096965,-0.012591979881706749,0.060161008498673785,0.1129352685400636,0.014886976761135668,3.567165905143844e-188
fold,19,open,138,-1.6757302012378963,0.16588926657790104,25.45551618797164,16.90073785060554,25.418415468163058,-83.93477936286642,139.16584937841537,-0.059087234346760956,0.2111376476758054,0.0738211886539703,0.06313428254277172,8.092606013785102e-70
fold,19,high,138,-1.485770766138763,0.31574591899952154,24.14622385455031,14.741696191559601,24.104412723631043,-74.30320877355179,119.8430138754314,-0.10657466349742002,0.05350323218616565,0.013290681658295011,0.001360578451241489,2.404724928557029e-65
fold,19,low,138,-1.8868465199011422,0.20353395143168918,24.913375881672682,15.81704435806149,24.894554289625937,-71.51599855444113,146.18873939707956,-0.12271618167812327,0.5127559679732583,0.45999925131773156,0.8010742469697109,7.534842795051292e-111
fold,19,close,138,-1.6278879318298054,0.11077297275785547,25.378955165314522,16.594235318676848,25.33918024853422,-83.93978472541752,138.66142185096965,-0.04600733464847948,0.1244539846746941,0.11806498625077837,0.09692331956357425,1.099574942342538e-71
fold,20,open,126,1.283523678951279,-1.3300379339353796,21.473811777010273,15.42348496386362,21.4269061295117,-44.83014297267829,113.27021906364587,-0.03610774300227432,0.8683735848642506,0.3108508924568919,0.4445345421369152,3.647312229284213e-36
fold,20,high,126,0.9370894192780388,-2.2878941384019136,18.957103081705238,13.02524822026893,18.904965935609262,-50.96504574284122,117.9435128022166,0.01788991505645501,0.6436896933216898,0.5518345162850578,0.5533305902366628,6.392472098226311e-144
fold,20,low,126,1.5662424679695348,1.4937316604557438,19.540954680034993,13.000340349153722,19.526174186778658,-46.667525438359725,117.15753805538797,0.01537206216266438,0.8825671697583907,0.37763425749399493,0.3745466705493262,3.3710632306740383e-101
fold,20,close,126,0.9545059616208664,-1.0855201315884688,20.960984385978957,14.982396707980556,20.899448346394237,-45.03564751273892,113.26502739005262,-0.004106764532363957,0.833048149861194,0.2608598024396509,0.339798189498142,6.084102614318321e-44
fold,21,open,132,0.07534861172612298,0.39058048808882084,17.254338910957255,12.900520969915036,17.189022459920704,-48.56034728512037,59.7395296570391,0.048134576646402395,0.5017959200265989,0.7978434664025323,0.56940564391145,0.024015502114521574
fold,21,high,132,0.18977520288269514,0.9197036715624662,19.367307049667605,12.59444658004888,19.294739866381693,-96.03203921952685,65.11450267568719,-0.10062608664076522,0.5482198967497045,0.6777239930124188,0.7710238893024413,1.5893903672299064e-40
fold,21,low,132,0.1561557904863141,1.1661601358303741,16.19746351123373,11.514503776491914,16.13674841950587,-54.48207577207764,56.289441095112025,0.023027820493819014,0.5265089893614548,0.8005787941967693,0.24271518035772854,1.753899737547527e-07
fold,21,close,132,0.0771514485931385,0.038820331971223254,17.093532886403345,12.78324175196126,17.028836333271318,-48.56156227196262,59.638166273980886,0.0713352375084488,0.5782693453983363,0.845132312058926,0.5542424554799743,0.016014759724094784
