profile,fold,row_in_fold,true_open,pred_open,resid_open_pips,abs_resid_open_pips,true_high,pred_high,resid_high_pips,abs_resid_high_pips,true_low,pred_low,resid_low_pips,abs_resid_low_pips,true_close,pred_close,resid_close_pips,abs_resid_close_pips,global_index
h4,19,0,1.1800299882888794,1.17657352844701,34.56459841869375,34.56459841869375,1.1808099746704102,1.1805501294978256,2.5984517258459405,2.5984517258459405,1.1797800064086914,1.1765890128308478,31.909935778435816,31.909935778435816,1.180750012397766,1.1805240512068846,2.25961190881252,2.25961190881252,0
h4,19,1,1.1807600259780884,1.1800334690728338,7.265569052545828,7.265569052545828,1.180999994277954,1.1809618530091648,0.38141268789315674,0.38141268789315674,1.1788300275802612,1.180294490041165,-14.644624609037038,14.644624609037038,1.1796200275421145,1.1807540067043316,-11.339791622171358,11.339791622171358,1
h4,19,2,1.179610013961792,1.1807635089154656,-11.534949536735617,11.534949536735617,1.179819941520691,1.1811182694380058,-12.983279173148787,12.983279173148787,1.1770000457763672,1.178603109851417,-16.030640750497316,16.030640750497316,1.177549958229065,1.1796240180261044,-20.740597970394514,20.740597970394514,2
h4,19,3,1.177549958229065,1.1796134935069305,-20.635352778655136,20.635352778655136,1.1788400411605835,1.1796237527522444,-7.837115916609072,7.837115916609072,1.17467999458313,1.176573511607912,-18.93517024781799,18.93517024781799,1.1756500005722046,1.1775539417103098,-19.03941138105214,19.03941138105214,3
h4,19,4,1.1756399869918823,1.1775534316975709,-19.134447056885495,19.134447056885495,1.1793899536132812,1.1786760944309442,7.138591823370177,7.138591823370177,1.1750500202178955,1.1744859254987123,5.640947191831724,5.640947191831724,1.1788400411605835,1.1756539776261674,31.860635344160837,31.860635344160837,4
h4,19,5,1.1788400411605835,1.1756434548264656,31.965863341179013,31.965863341179013,1.1803200244903564,1.179563950670547,7.560738198093553,7.560738198093553,1.1788300275802612,1.1754097420850675,34.20285495193687,34.20285495193687,1.1796900033950806,1.1788440290059925,8.459743890880667,8.459743890880667,5
h4,19,6,1.1795200109481812,1.1788435184345007,6.764925136804045,6.764925136804045,1.1808700561523438,1.180525911174223,3.4414497812074174,3.4414497812074174,1.178760051727295,1.1794813139594054,-7.212622321104423,7.212622321104423,1.1806600093841553,1.179693994115789,9.660152683663714,9.660152683663714,6
h4,19,7,1.180649995803833,1.179523490227834,11.265055759990261,11.265055759990261,1.180999994277954,1.180843232340838,1.567619371161122,1.567619371161122,1.1787400245666504,1.1785225104270884,2.175141395619473,2.175141395619473,1.1789300441741943,1.1806640033862537,-17.339592120593217,17.339592120593217,7
h4,19,8,1.1789300441741943,1.1806534784166496,-17.234342424552462,17.234342424552462,1.1809899806976318,1.1808745202832396,1.154604143922544,1.154604143922544,1.178670048713684,1.1783794900483968,2.9055866528726604,2.9055866528726604,1.1797900199890137,1.1789340323240705,8.559876649432141,8.559876649432141,8
h4,19,9,1.1797900199890137,1.1789335217135974,8.564982754162287,8.564982754162287,1.1799999475479126,1.1809696709539184,-9.697234060057625,9.697234060057625,1.1717400550842283,1.178592450370765,-68.52395286536694,68.52395286536694,1.1738300323486328,1.1797940110480636,-59.63978699430772,59.63978699430772,9
