fold,samples,mae_open_pips,mae_high_pips,mae_low_pips,mae_close_pips,mae_avg_pips,mae_avg_hlc_pips,corr2_open,corr2_high,corr2_low,corr2_close,corr2_avg_ohlc,corr2_avg_hlc,da_body_pct,atr6_mean_pips,atr12_mean_pips,avg_error_le_atr6_pct,avg_error_le_atr12_pct
19,138,16.90073785060554,14.741696191559603,15.817044358061489,16.594235318676848,16.01342842972587,15.717658622765981,0.9360952570722572,0.9389536860334272,0.941622437173477,0.9365124890692322,0.9382959673370984,0.9390295374253789,47.82608695652174,31.896256038647252,31.75591787439605,89.85507246376811,89.13043478260869
20,126,15.423484963863617,13.025248220268924,13.000340349153722,14.982396707980556,14.107867560316704,13.669328425801067,0.7785582855845785,0.816535878468503,0.8163487083259907,0.7828028308376941,0.7985614258041915,0.8052291392107293,47.61904761904761,29.559656084656204,29.917195767195874,96.82539682539682,96.82539682539682
21,132,12.900520969915034,12.594446580048881,11.514503776491916,12.78324175196126,12.448178269604274,12.297397369500686,0.9039650050502879,0.8852249749617883,0.9151926934788492,0.9056763863517245,0.9025147649606625,0.902031351597454,55.3030303030303,26.793686868686848,26.70157828282826,92.42424242424242,90.9090909090909
