profile,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,split_ratio,mode,mae_open_pips,mae_high_pips,mae_low_pips,mae_close_pips,mae_avg_pips,test_samples_predicted,preds_csv
d1,19,2019-07-02 00:00:00,2025-07-01 00:00:00,2025-07-02 00:00:00,2025-08-01 00:00:00,1558,23,0.9854522454142948,tvt_v02,41.1492072927375,41.51476716436043,34.10445662908789,47.26229212725098,41.0076808033592,23,fold19_preds.csv
d1,20,2019-08-02 00:00:00,2025-08-01 00:00:00,2025-08-04 00:00:00,2025-09-01 00:00:00,1558,21,0.986700443318556,tvt_v02,46.82866180137003,25.195088817876943,34.624148132345894,36.70881349875619,35.839178062587266,21,fold20_preds.csv
d1,21,2019-09-02 00:00:00,2025-09-01 00:00:00,2025-09-02 00:00:00,2025-10-01 00:00:00,1558,22,0.9860759493670886,tvt_v02,39.50402545521309,33.438335573933365,31.648872818136937,39.605481578007705,36.049178856322776,22,fold21_preds.csv
