profile,fold,row_in_fold,true_open,pred_open,resid_open_pips,abs_resid_open_pips,true_high,pred_high,resid_high_pips,abs_resid_high_pips,true_low,pred_low,resid_low_pips,abs_resid_low_pips,true_close,pred_close,resid_close_pips,abs_resid_close_pips,global_index
d1,19,0,1.1800299882888794,1.1781827862691323,18.47202019747085,18.47202019747085,1.180999994277954,1.1837138406463017,-27.138463683475944,27.138463683475944,1.17467999458313,1.1770041029946758,-23.241084115457333,23.241084115457333,1.1796900033950806,1.1805445771153271,-8.545737202465542,8.545737202465542,0
d1,19,1,1.1795200109481812,1.180052858637783,-5.3284768960182305,5.3284768960182305,1.180999994277954,1.1804747547486816,5.252395292725254,5.252395292725254,1.1717400550842283,1.174443535650096,-27.034805658676664,27.034805658676664,1.1756500005722046,1.1797145055919325,-40.64505019727882,40.64505019727882,1
d1,19,2,1.175819993019104,1.1795428714131329,-37.2287839402885,37.2287839402885,1.1787400245666504,1.1811295283002723,-23.895037336219005,23.895037336219005,1.1752099990844729,1.1712606445115152,39.49354572957642,39.49354572957642,1.1773300170898438,1.1756744188580763,16.55598231767419,16.55598231767419,2
d1,19,3,1.1782399415969849,1.1758427817734196,23.971598235652536,23.971598235652536,1.179010033607483,1.1782803054354902,7.297281719926829,7.297281719926829,1.168660044670105,1.175775836524686,-71.15791854580999,71.15791854580999,1.1707799434661863,1.1773544702697092,-65.74526803522885,65.74526803522885,3
d1,19,4,1.1707199811935425,1.1782627772527088,-75.42796059166301,75.42796059166301,1.1765199899673462,1.1791808651672668,-26.608751999206426,26.608751999206426,1.1682599782943726,1.167591955548471,6.680227459014976,6.680227459014976,1.172510027885437,1.1708042606008258,17.05767284611248,17.05767284611248,4
d1,19,5,1.1719800233840942,1.1707426711037177,12.373522803765802,12.373522803765802,1.1729300022125244,1.176005369827886,-30.75367615361646,30.75367615361646,1.1689599752426147,1.1681947402000563,7.65235042558432,7.65235042558432,1.1722099781036377,1.1725343809539817,-3.2440285034396332,3.2440285034396332,5
d1,19,6,1.17153000831604,1.1720027377153477,-4.727293993076476,4.727293993076476,1.174960017204285,1.1723315224082185,26.284947960664162,26.284947960664162,1.1662499904632568,1.169074122468427,-28.241320051700658,28.241320051700658,1.169950008392334,1.1722343249401397,-22.84316547805698,22.84316547805698,6
d1,19,7,1.1697800159454346,1.1715527139254798,-17.726979800452014,17.726979800452014,1.1714099645614624,1.1755145998430958,-41.046352816334064,41.046352816334064,1.166460037231445,1.1658080781873064,6.51959044138728,6.51959044138728,1.1689900159835815,1.169974308289197,-9.84292305615364,9.84292305615364,7
d1,19,8,1.166260004043579,1.169802687637994,-35.426835944150085,35.426835944150085,1.1697700023651123,1.170603390669669,-8.333883045565926,8.333883045565926,1.1654200553894043,1.1664942891748855,-10.742337854812156,10.742337854812156,1.16635000705719,1.1690142959413732,-26.642888841832413,26.642888841832413,8
d1,19,9,1.1663399934768677,1.166282607514228,0.5738596263960005,0.5738596263960005,1.169260025024414,1.1696246708754834,-3.646458510693229,3.646458510693229,1.1592899560928345,1.1652504674469686,-59.605113541341126,59.605113541341126,1.1602200269699097,1.1663742321819168,-61.542052120071574,61.542052120071574,9
d1,19,10,1.1598800420761108,1.1663625984978043,-64.82556421693486,64.82556421693486,1.1721400022506714,1.169209438626416,29.305636242553668,29.305636242553668,1.1562199592590332,1.158290331979598,-20.703727205648725,20.703727205648725,1.1641099452972412,1.1602441247747657,38.65820522475527,38.65820522475527,10
