scope,fold,target,n,bias_mean_pips,median_resid_pips,std_resid_pips,mae_pips,rmse_pips,min_resid_pips,max_resid_pips,lag1_autocorr,ljungbox_p_lag5,ljungbox_p_lag10,ljungbox_p_lag20,jarque_bera_pvalue
combined,all,open,66,-1.0000626091214455,5.419158824485626,56.512298036721006,42.40791250873365,56.09145632224075,-164.52800364838538,174.9002716026893,-0.1009745848596102,0.7805273701423266,0.8224524908733626,0.7107623509897703,0.1032294839321037
combined,all,high,66,-0.8547677968813914,-1.8521095110501928,48.730295544098034,33.62999837245818,48.36727108331575,-174.4811379114264,158.88477994947525,-0.20694405198841131,0.09780302835043715,0.17956203008287405,0.2720399092274163,7.239358758023435e-06
combined,all,low,66,-0.7253315514690791,6.108116150249643,44.69177465485068,33.45128507950451,44.35783896144185,-113.34845506314473,160.085687056708,-0.02990230905906839,0.33342258170062117,0.359866515411047,0.6556452812954232,0.014243096931739986
combined,all,close,66,-1.4341200030151902,-3.6248840420738393,55.424494063228494,41.35209692601246,55.0217019791167,-152.6445368911733,170.86281338662747,-0.06295000680161265,0.8042671565988758,0.8811521639914621,0.7847293794241316,0.1326865741353877
fold,19,open,23,-16.139531493745285,-4.727293993076476,56.52210001311285,41.1492072927375,57.587587107887416,-164.52800364838538,63.674422374899734,0.020482670949894193,0.1280315790440289,0.22304516268586466,0.42430522877995286,0.0711633655770197
fold,19,high,23,-7.711508859746131,5.252395292725254,62.96466610123363,41.51476716436043,62.06162133537544,-174.4811379114264,158.88477994947525,-0.4374399127516944,0.03048031465968135,0.10842613346577097,0.34462231127696785,0.08238268974180875
fold,19,low,23,-13.920096789487072,-10.742337854812156,44.00466323466041,34.10445662908789,45.232595825292925,-113.34845506314473,60.435583097531165,0.1806276804434125,0.10865076380735056,0.23179614846165106,0.4964601051558576,0.39286171949057713
fold,19,close,23,-9.772904114215445,-9.84292305615364,66.78487126398758,47.26229212725098,66.04397109549278,-152.6445368911733,170.86281338662747,0.14854123495259797,0.21041240057441765,0.3335040314894063,0.720933273163985,0.30786724223549117
fold,20,open,21,13.140832352713053,7.697719011190429,62.930584427248746,46.828661801370025,62.80410970040324,-103.10323599806325,174.9002716026893,-0.4954194015051815,0.4227026957984459,0.19667480843997348,,0.37012942479217625
fold,20,high,21,4.450182138160291,-1.3981029957799151,34.983373777994345,25.19508881787694,34.42909577954314,-55.01906571451221,81.22739828567927,-0.026341461933552728,0.09238769267377457,0.1621416793043257,,0.3177394969452123
fold,20,low,21,12.00321718380111,10.040690340613612,47.48686372431441,34.624148132345894,47.87168673375169,-49.730112280106376,160.085687056708,-0.42143715023171735,0.5017347510852825,0.5856157257719479,,0.0022941469494941187
fold,20,close,21,5.732640914789374,2.395815517077793,49.169555857867564,36.708813498756186,48.32579468674568,-101.50604450157363,115.09450012073152,-0.5133071531611971,0.15684095377936969,0.18893805651048104,,0.9541667690254978
fold,21,open,22,1.3294369430523594,10.939074262272808,48.06079477021808,39.50402545521309,46.97461728990533,-79.46182297797533,96.83728797211799,-0.015556817426110066,0.35207956769629306,0.5322143115772717,0.44616038635474936,0.7350680405083272
fold,21,high,22,1.2498274672101422,-3.5583211380507684,44.12380846348804,33.43833557393336,43.12744614992639,-74.67668412501682,98.38365346194865,0.07034166791315354,0.18722713363052987,0.37778863208025204,0.49223652932584394,0.6937045275309843
fold,21,low,22,0.9192174046100042,6.38068233889455,40.626525985770655,31.64887281813694,39.703100417711305,-78.00561000896877,54.76662967720092,0.02583180834910766,0.38419388541842336,0.6796902677281448,0.6017187051179648,0.42490633186538485
fold,21,close,22,0.4427006916988981,0.5611412098716073,49.00860178012242,39.60548157800771,47.883863130755536,-76.89191795897,105.70988738466625,-0.002419393736367757,0.3354329956142437,0.5603676310244177,0.5656347705725051,0.7966737356717488
