name,job,mae_avg_pips,mae_open_pips,mae_high_pips,mae_low_pips,mae_close_pips,preds,train_seconds,window,units,activation,lr,epochs,lambda_coef,sigma_coef,batch
eur_s4_w12_h256_actrelu_lr0.0007_e50_lam0.8_sig0.15_b128,eur_s4_lam08_sig015,9.09747462871286,2.3853399339933823,9.735303355335517,10.139621012101198,14.129634213421337,results/eurusd_pipeline/eur_s4_lam08_sig015_preds.csv,28.16934984596446,12,256,relu,0.0007,50,0.8,0.15,128
eur_s4_w12_h256_actrelu_lr0.0007_e50_lam0.9_sig0.1_b128,eur_s4_lam09_sig01,9.163842615511536,2.5458842134213313,9.692034378437834,10.23740181518149,14.18005005500549,results/eurusd_pipeline/eur_s4_lam09_sig01_preds.csv,28.299429513979703,12,256,relu,0.0007,50,0.9,0.1,128
eur_s4_w12_h256_actrelu_lr0.0007_e50_lam1_sig0.05_b128,eur_s4_lam10_sig005,9.168945957095707,2.563073982398232,9.678611111111111,10.240348459845974,14.19375027502751,results/eurusd_pipeline/eur_s4_lam10_sig005_preds.csv,28.294686272041872,12,256,relu,0.0007,50,1.0,0.05,128
