loss,val_loss
0.03211785852909088,5.596646951744333e-05
5.4965003073448315e-05,1.912843254103791e-05
2.9526339858421125e-05,1.0107267371495254e-05
3.0269397029769607e-05,7.482712589990115e-06
2.9853879823349416e-05,0.000105351755337324
3.225375257898122e-05,6.386709173966665e-06
3.509233283693902e-05,4.896166046819417e-06
4.16125803894829e-05,7.706787073402666e-06
3.687181379063986e-05,3.1952959034242667e-06
4.6449084038613364e-05,2.8627559913729783e-06
3.134550206596032e-05,2.419736483716406e-05
3.631465369835496e-05,6.171293989609694e-06
4.0025770431384444e-05,8.34506226965459e-06
4.2991330701624975e-05,4.071666808158625e-06
4.213170541333966e-05,2.660915697560995e-06
3.5330926039023325e-05,2.3337888706009835e-05
3.322150223539211e-05,3.5448153994366294e-06
3.4795939427567646e-05,1.3081147699267603e-05
3.8933045289013535e-05,3.2622251637803856e-06
3.677860877360217e-05,8.583405360695906e-06
4.0520149923395365e-05,0.00023659381258767098
2.1273472157190554e-05,9.788632269192021e-06
2.965468775073532e-05,1.8828657630365342e-05
4.2063413275172934e-05,1.2723902727884706e-05
2.6940848329104483e-05,1.532208216303843e-06
4.0329261537408456e-05,5.7211858802475035e-05
1.990210876101628e-05,0.00013431783008854836
2.417285395495128e-05,2.37850435951259e-05
3.457962520769797e-05,8.256185537902638e-05
3.0467226679320447e-05,2.4001014935493004e-06
2.436036811559461e-05,5.7941684644902125e-05
2.9087348593748175e-05,8.901570254238322e-05
2.1540659872698598e-05,6.727730215061456e-05
2.5855726562440395e-05,8.026164141483605e-05
2.471392144798301e-05,3.784293221542612e-05
2.6514466298976913e-05,3.909544466296211e-05
3.0483046430163085e-05,6.114779807830928e-06
2.7870732083101757e-05,6.7950609263789374e-06
1.943750976352021e-05,1.8872662622015923e-05
2.4928871425800025e-05,6.38846631773049e-06
1.752861135173589e-05,2.8714255222439533e-06
2.7890346245840192e-05,5.314429927238962e-06
1.7327321984339505e-05,9.445336218050215e-06
2.5343055312987417e-05,3.106662552454509e-05
2.350601789657958e-05,7.599259788548807e-06
2.4509865397703834e-05,1.6642736227368005e-05
1.5072006135596894e-05,2.1454141460708342e-05
1.7072698028641753e-05,1.064104162651347e-05
2.1863846995984204e-05,5.004599643143592e-06
2.1507936253328808e-05,1.283873734791996e-05
