loss,val_loss
0.04076112061738968,4.107206405024044e-05
7.126626587705687e-05,1.789691305020824e-05
2.960582605737727e-05,9.1352258095867e-06
1.949768738995772e-05,7.549933343398152e-06
1.5242135305015836e-05,8.19608976598829e-06
1.4534076399286278e-05,1.0574610314506572e-05
1.4773266229894944e-05,1.5943653124850243e-05
1.7347794710076414e-05,1.698368214420043e-05
1.6954885722952895e-05,3.687137723318301e-05
1.966222953342367e-05,3.106728763668798e-05
2.1537667635129765e-05,4.3939449824392796e-05
2.333011434529908e-05,4.508108759182505e-05
2.6603787773638032e-05,6.218002818059176e-05
2.6492840333958156e-05,4.1475457692286e-05
3.225097680115141e-05,4.957687633577734e-05
2.4626087906653993e-05,6.503406439151149e-06
3.004719656019006e-05,1.0868825484067202e-05
1.962378701136913e-05,0.00010581433161860332
3.362793358974159e-05,4.793479820364155e-05
2.3765547666698694e-05,0.00013730132195632905
2.5030145479831845e-05,6.161224064271664e-06
2.9312675906112418e-05,3.738320174306864e-06
3.511384056764655e-05,2.339681259400095e-06
1.8541168174124323e-05,5.624551704386249e-05
3.282992111053318e-05,2.1501276933122426e-05
2.30819405260263e-05,8.966959285316989e-05
2.463945020281244e-05,0.00010911446588579565
1.9838378648273647e-05,1.739780964271631e-05
2.4647486497997306e-05,3.0286073524621315e-05
2.7636177037493326e-05,4.3915220885537565e-05
2.763808697636705e-05,1.3160620255803224e-06
1.9503160729072988e-05,4.2600135202519596e-05
2.6590239940560423e-05,4.050362986163236e-05
1.956909181899391e-05,4.5862634578952566e-05
2.622982719913125e-05,1.4797254152654205e-05
1.9448822058620863e-05,3.023413046321366e-05
2.6797211830853485e-05,5.600114673143253e-05
1.0958443454001099e-05,7.637307135155424e-06
2.6136556698475033e-05,1.2422424333635718e-06
2.43048052652739e-05,6.263121758820489e-05
1.3726596989727113e-05,1.8949249351862818e-05
1.7094542272388935e-05,1.4365150491357781e-05
1.995453749259468e-05,1.5771342077641748e-05
2.212348408647813e-05,3.534509596647695e-05
1.6021536794141866e-05,4.752358654513955e-05
1.8008666302193888e-05,2.498290768926381e-06
1.9519759007380344e-05,7.400741651508724e-06
2.4795828721835278e-05,3.644591288320953e-06
8.827095371088944e-06,1.3657723684445955e-05
1.9393804905121215e-05,1.0834507520485204e-05
