loss,val_loss
0.0373966358602047,8.22074871393852e-05
6.869486242067069e-05,3.598841794882901e-05
2.8651882530539297e-05,1.9706672901520506e-05
1.918426096381154e-05,7.004447979852557e-06
1.688370139163453e-05,1.751221680024173e-05
1.838060597947333e-05,9.118895832216367e-06
1.7466381905251183e-05,2.1736635972047225e-05
2.1204146833042614e-05,6.817846042395104e-06
1.867569335445296e-05,1.1338858712406363e-05
2.1709596694563515e-05,5.7860529523168225e-06
2.7259795388090424e-05,5.519092155736871e-06
2.4829047106322832e-05,4.670744965551421e-05
2.4715816834941506e-05,9.013315866468474e-05
2.8932176064699888e-05,7.433967402903363e-05
2.792963459796738e-05,0.00012808726751245558
2.226519245596137e-05,4.22671546402853e-05
2.838107138813939e-05,4.706394247477874e-05
2.4627668608445674e-05,8.697342127561569e-05
3.2555588404648006e-05,8.016734500415623e-05
2.9034781618975103e-05,8.779033669270575e-05
2.1326777641661465e-05,4.5997821871424094e-05
2.817176209646277e-05,5.300905468175188e-05
3.633710730355233e-05,5.4010564781492576e-05
2.1877227482036687e-05,3.288165680714883e-05
2.049716204055585e-05,5.401466478360817e-05
2.660987047420349e-05,3.1487437809119e-05
2.3295535356737673e-05,7.228934464365011e-06
2.8930066036991775e-05,3.521646476656315e-06
2.574535938038025e-05,2.6495315978536382e-05
3.409121200093068e-05,2.8498021492850967e-05
1.4176092008710839e-05,8.403992251260206e-05
2.4800203391350806e-05,7.791676034685224e-05
2.0782326828339137e-05,3.5500033845892176e-05
2.0227702407282777e-05,1.0272665349475574e-05
4.031386197311804e-05,6.198360642883927e-05
1.0717120858316775e-05,1.9460017938399687e-05
2.0414003301993944e-05,1.2169667570560705e-05
1.9883495042449795e-05,2.6905760023510084e-05
1.668140248511918e-05,8.351624273927882e-06
2.1435998860397376e-05,2.3470003725378774e-05
2.0218933059368283e-05,1.778786099748686e-06
2.662066435732413e-05,2.400864650553558e-05
1.836641604313627e-05,9.965353092411533e-05
1.3477540051098913e-05,5.3956382544129156e-06
2.0492054318310693e-05,5.117655291542178e-06
2.4471626602462493e-05,1.6007247722882312e-06
1.5627501852577552e-05,4.199348404654302e-05
1.5501344023505226e-05,1.834983231674414e-05
1.3644972568727098e-05,3.5406541428528726e-05
1.908745070977602e-05,5.8423834161658306e-06
