loss,val_loss
0.033913400024175644,5.4950669436948374e-05
5.3764502808917314e-05,1.7403512174496427e-05
2.7574002160690725e-05,9.647904334997293e-06
1.9247525415266864e-05,7.059879408188863e-06
1.8729564544628374e-05,1.508928653493058e-05
2.140645847248379e-05,1.2021975635434501e-05
2.5209004888893105e-05,3.352190833538771e-05
2.701527591852937e-05,3.481157909845933e-05
3.104854476987384e-05,6.463202225859277e-06
3.251724047004245e-05,1.5340756363002583e-05
3.6284189263824373e-05,3.316608490422368e-05
3.386453681741841e-05,2.1232506696833298e-05
3.3976164559135213e-05,1.5141540643526241e-05
4.234388325130567e-05,3.924017619283404e-06
3.90263921872247e-05,2.1687408661819063e-05
2.834539372997824e-05,8.38198684505187e-05
3.123683200101368e-05,5.341793894331204e-06
3.0957515264162794e-05,3.809109330177307e-06
3.2932886824710295e-05,3.4791019061231054e-06
3.3363732654834166e-05,4.977140633855015e-06
2.9893537430325523e-05,5.388231329561677e-06
2.6839492420549504e-05,2.7907457479159348e-05
3.4458345908205956e-05,6.407466571545228e-05
3.0020879421499558e-05,1.2705459994322155e-05
3.036604539374821e-05,9.822814718063455e-06
3.7904417695244774e-05,2.9510415515687782e-06
2.0580340788001195e-05,4.354839620646089e-05
2.3061582396621816e-05,2.57581068581203e-05
3.27325142279733e-05,1.0751700756372884e-05
2.7763340767705813e-05,1.6782996681286022e-05
2.0351515559013933e-05,2.603754728625063e-05
2.698236858122982e-05,2.674948518688325e-05
2.6473684556549415e-05,8.58569001138676e-06
2.405845225439407e-05,2.0018898794660345e-05
2.2783398890169337e-05,2.4327215214725584e-05
2.563770249253139e-05,4.152521341893589e-06
2.3953609343152493e-05,8.542151590518188e-06
2.0828962078667246e-05,1.0200417818850838e-05
2.4666631361469626e-05,2.2460346372099593e-05
2.0449384464882314e-05,3.561109406291507e-05
1.8489276044419967e-05,2.2647685909760185e-05
2.2359057766152546e-05,3.1004558422864648e-06
2.2687992895953357e-05,4.9177160690305755e-06
1.8210947018815205e-05,2.528045115468558e-06
2.3275330022443086e-05,3.0792989491601475e-06
2.0427260096766986e-05,2.461751500959508e-05
1.4226409803086426e-05,1.7498447277830564e-06
2.314090852451045e-05,9.700644113763701e-06
1.7908731024363078e-05,5.231533577898517e-05
1.5079112017701846e-05,7.821378858352546e-06
