loss,val_loss
0.06435509771108627,0.00019793625688180327
0.00037840494769625366,6.870854849694297e-05
0.0002545754541642964,1.913247069751378e-05
0.00012996619625482708,1.0026691597886384e-05
0.00010777098941616714,5.642521500703879e-06
0.00011151780199725181,6.415626103262184e-06
9.888001659419388e-05,4.943555268255295e-06
8.109369082376361e-05,5.447921012091683e-06
7.675969391129911e-05,9.880018296826165e-06
0.00010778701835079119,5.034322384744883e-06
9.556584700476378e-05,5.4860984164406545e-06
2.302758366568014e-05,2.060352562693879e-05
0.00010914856829913333,8.14287704997696e-06
5.5169464758364484e-05,2.5633851691964082e-05
7.977063796715811e-05,5.7248809753218666e-05
7.495216414099559e-05,3.343988646520302e-05
7.03909681760706e-05,6.412245056708343e-06
8.001561218407005e-05,4.328408249421045e-05
6.976334407227114e-05,9.074501576833427e-06
5.1387502026045695e-05,0.00010061854845844209
9.827323083300143e-05,4.397169504954945e-06
4.162105324212462e-05,0.00016753235831856728
6.161911733215675e-05,4.4930515286978334e-05
6.276038038777187e-05,5.826256710861344e-06
6.28777124802582e-05,2.0869723812211305e-05
3.0274542950792238e-05,3.43581814377103e-05
6.07813271926716e-05,3.4826291539502563e-06
4.435854498296976e-05,3.809850568359252e-06
5.423493348644115e-05,1.603625605639536e-05
4.523961615632288e-05,7.871735761000309e-06
4.9737402150640264e-05,4.131669265916571e-05
4.444828300620429e-05,6.8831736825814005e-06
4.58525464637205e-05,1.8927496057585813e-05
3.373270737938583e-05,9.887896339932922e-06
4.207064557704143e-05,1.4956167433410883e-05
4.0459970477968454e-05,3.6785272641282063e-06
4.000647459179163e-05,2.5230001483578235e-06
3.520917016430758e-05,8.739932127355132e-06
3.17594240186736e-05,4.9968411985901184e-06
3.47829882230144e-05,8.205229278246406e-06
3.337216912768781e-05,1.0253542313876096e-05
3.0217332096071914e-05,4.459398041944951e-06
3.379302506800741e-05,5.7422425925324205e-06
2.578145904408302e-05,2.3771985070197843e-05
3.152140197926201e-05,5.834369403601158e-06
2.6136543965549208e-05,1.0244030818284955e-05
2.8177870262879878e-05,7.992538485268597e-06
2.5293949875049293e-05,6.168002983031329e-06
2.8193844627821818e-05,3.85630573873641e-06
2.294966543558985e-05,4.357398665888468e-06
