loss,val_loss
0.05106284096837044,5.327601684257388e-05
0.00017851525626610965,3.5731100069824606e-05
0.00014009285951033235,0.00019229415920563042
0.00018626457313075662,5.437171239464078e-06
9.433987725060433e-05,4.15344538851059e-06
0.00010185141582041979,4.111693215236301e-06
8.006596908671781e-05,3.7024142329755705e-06
6.237134948605672e-05,3.10681457449391e-06
7.288079359568655e-05,3.2989510145853274e-06
3.371982165845111e-05,1.4861971976642963e-05
4.366338180261664e-05,2.5042354536708444e-06
5.326644895831123e-05,5.545750354940537e-06
6.377501995302737e-05,3.7149234231037553e-06
1.911613071570173e-05,1.2324292583798524e-05
3.877192648360506e-05,1.9459714621916646e-06
6.07044312346261e-05,2.0243292055965867e-06
5.4828567954245955e-05,7.818710400897544e-06
2.3171196517068893e-05,1.0831497093022335e-05
3.988310709246434e-05,2.2430782337323762e-05
5.1246752263978124e-05,8.446286301477812e-06
5.903279088670388e-05,6.5022518356272485e-06
2.4641549316584133e-05,5.112710368848639e-06
3.83308288292028e-05,2.088546580125694e-06
5.750083437305875e-05,4.33304303442128e-05
2.2163911125971936e-05,2.1938431018497795e-05
4.215639637550339e-05,2.7274872991256416e-06
3.4114887967007235e-05,5.911766038479982e-06
6.448242493206635e-05,4.8876931941777e-06
2.0542098354781047e-05,1.7403343690602924e-06
3.989084143540822e-05,3.063719123019837e-05
2.995099021063652e-05,2.9333789370866725e-06
3.064766133320518e-05,4.913007160212146e-06
4.139993689022958e-05,1.4367329868036904e-06
3.990004552179016e-05,5.908570165047422e-05
1.6990183212328702e-05,2.4416982341790572e-05
4.979394725523889e-05,6.535358352266485e-06
1.554211848997511e-05,7.651681698916946e-06
4.366303255665116e-05,2.9480038392648567e-06
2.1603669665637426e-05,1.577453986101318e-05
2.764474629657343e-05,4.498704583966173e-05
3.683882096083835e-05,2.2417549189412966e-05
2.4973207473522052e-05,2.974100880237529e-06
3.357145033078268e-05,1.0612198821036145e-05
1.2607944881892763e-05,1.8794575225911103e-05
3.563360951375216e-05,1.3809517440677155e-05
2.28420140047092e-05,1.6915835658437572e-05
2.256323023175355e-05,1.5174841792031657e-05
3.123529677395709e-05,1.3515842510969378e-05
2.718154610192869e-05,4.175304184173001e-06
1.854749643825926e-05,3.500696948322002e-06
