loss,val_loss
0.11558542400598526,0.00011767779506044462
0.0004119957739021629,9.708527068141848e-05
0.0003663109673652798,6.426871550502256e-05
0.0002783280797302723,0.0002408361033303663
0.00036960910074412823,1.0536731679167133e-05
0.000200837486772798,9.745403986016754e-06
0.00015635656018275768,7.944634489831515e-06
0.0001957706845132634,8.268417332146782e-06
7.484355592168868e-05,6.749838212272152e-05
9.251100709661841e-05,5.432337275124155e-06
0.00013423427299130708,4.219414222461637e-06
0.0001883558725239709,7.092611213010969e-06
9.40562767937081e-06,4.143156274949433e-06
0.00014352682046592236,2.240789217466954e-05
2.626116111059673e-05,4.684676696342649e-06
0.00022108614211902022,1.1643951438600197e-05
2.060869701381307e-05,6.6965176301891916e-06
3.6353438190417364e-05,9.449286153540015e-06
0.00015840423293411732,1.4351669051393401e-05
4.542112583294511e-05,7.756660124869086e-06
8.813733438728377e-05,1.4863210708426777e-05
7.577937503810972e-05,1.749564216879662e-05
7.61892952141352e-05,5.7240708883909974e-06
0.00015108255320228636,2.967142063425854e-05
7.095062028383836e-05,3.3786282074288465e-06
5.375970067689195e-05,7.580817964480957e-06
0.00011524720321176574,0.00013580892118625343
5.206876448937692e-05,4.032988272228977e-06
9.94076908682473e-05,8.663255357532762e-06
5.299755139276385e-05,8.637134305899963e-05
9.69294851529412e-05,1.3425913493847474e-05
7.010633999016136e-05,3.44009131367784e-05
7.918481423985213e-05,3.178649058099836e-05
8.250868995673954e-05,1.3435989785648417e-05
6.056567872292362e-05,2.368625791859813e-05
8.363001688849181e-05,2.6438268832862377e-05
5.474440331454389e-05,2.2193837139639072e-05
7.62066338211298e-05,5.985657026030822e-06
6.771091284463182e-05,2.3610364223713987e-05
5.154506288818084e-05,9.169978147838265e-05
7.415179425152019e-05,3.1564686651108786e-05
5.314222289598547e-05,0.00010897192260017619
6.199084600666538e-05,3.656559783848934e-05
5.9120557125424966e-05,0.00010234470391878858
6.130043038865551e-05,3.5805704101221636e-05
7.155037019401789e-05,4.8474077630089596e-05
3.10330833599437e-05,1.8018248738371767e-05
5.2167350077070296e-05,2.2081971110310405e-05
8.229976810980588e-05,2.0312561900937e-05
3.667146302177571e-05,8.625848749943543e-06
